num_turistas,fecha,nombre
29626,2023-11-01,Barakaldo
27377,2023-11-01,Bilbao
23422,2023-11-01,Alcobendas
28377,2023-11-01,Mostoles
22777,2023-10-01,Barakaldo
23415,2023-10-01,Bilbao
20424,2023-10-01,Alcobendas
28275,2023-10-01,Mostoles
14520,2023-09-01,Barakaldo
12223,2023-09-01,Bilbao
16075,2023-09-01,Alcobendas
25329,2023-09-01,Mostoles
28653,2023-08-01,Barakaldo
25673,2023-08-01,Bilbao
20322,2023-08-01,Alcobendas
18760,2023-08-01,Mostoles
12252,2023-07-01,Barakaldo
18926,2023-07-01,Bilbao
27880,2023-07-01,Alcobendas
25996,2023-07-01,Mostoles
17690,2023-06-01,Barakaldo
18065,2023-06-01,Bilbao
19993,2023-06-01,Alcobendas
29971,2023-06-01,Mostoles
26252,2023-05-01,Barakaldo
11317,2023-05-01,Bilbao
18250,2023-05-01,Alcobendas
20283,2023-05-01,Mostoles
25592,2023-04-01,Barakaldo
22844,2023-04-01,Bilbao
10995,2023-04-01,Alcobendas
18185,2023-04-01,Mostoles
17245,2023-03-01,Barakaldo
16725,2023-03-01,Bilbao
17908,2023-03-01,Alcobendas
23133,2023-03-01,Mostoles
25861,2023-02-01,Barakaldo
23345,2023-02-01,Bilbao
29594,2023-02-01,Alcobendas
19415,2023-02-01,Mostoles
11771,2023-01-01,Barakaldo
28404,2023-01-01,Bilbao
12078,2023-01-01,Alcobendas
22055,2023-01-01,Mostoles
17304,2022-12-01,Barakaldo
13545,2022-12-01,Bilbao
20560,2022-12-01,Alcobendas
11226,2022-12-01,Mostoles
16074,2022-11-01,Barakaldo
20018,2022-11-01,Bilbao
11397,2022-11-01,Alcobendas
21183,2022-11-01,Mostoles
25758,2022-10-01,Barakaldo
16049,2022-10-01,Bilbao
18730,2022-10-01,Alcobendas
23470,2022-10-01,Mostoles
27927,2022-09-01,Barakaldo
23068,2022-09-01,Bilbao
14298,2022-09-01,Alcobendas
22761,2022-09-01,Mostoles
13959,2022-08-01,Barakaldo
24469,2022-08-01,Bilbao
21703,2022-08-01,Alcobendas
18048,2022-08-01,Mostoles
11207,2022-07-01,Barakaldo
27197,2022-07-01,Bilbao
24605,2022-07-01,Alcobendas
10568,2022-07-01,Mostoles
17344,2022-06-01,Barakaldo
15562,2022-06-01,Bilbao
21003,2022-06-01,Alcobendas
14266,2022-06-01,Mostoles
18510,2022-05-01,Barakaldo
18061,2022-05-01,Bilbao
21102,2022-05-01,Alcobendas
14033,2022-05-01,Mostoles
25526,2022-04-01,Barakaldo
21481,2022-04-01,Bilbao
16213,2022-04-01,Alcobendas
13388,2022-04-01,Mostoles
15554,2022-03-01,Barakaldo
27739,2022-03-01,Bilbao
22051,2022-03-01,Alcobendas
16659,2022-03-01,Mostoles
29312,2022-02-01,Barakaldo
13190,2022-02-01,Bilbao
16815,2022-02-01,Alcobendas
13658,2022-02-01,Mostoles
17849,2022-01-01,Barakaldo
18654,2022-01-01,Bilbao
26956,2022-01-01,Alcobendas
27844,2022-01-01,Mostoles
11325,2021-12-01,Barakaldo
22306,2021-12-01,Bilbao
19851,2021-12-01,Alcobendas
25381,2021-12-01,Mostoles
14846,2021-11-01,Barakaldo
13520,2021-11-01,Bilbao
10290,2021-11-01,Alcobendas
23334,2021-11-01,Mostoles
14656,2021-10-01,Barakaldo
20572,2021-10-01,Bilbao
18025,2021-10-01,Alcobendas
14562,2021-10-01,Mostoles
29720,2021-09-01,Barakaldo
21084,2021-09-01,Bilbao
27493,2021-09-01,Alcobendas
16246,2021-09-01,Mostoles
18440,2021-08-01,Barakaldo
23657,2021-08-01,Bilbao
22508,2021-08-01,Alcobendas
23166,2021-08-01,Mostoles
23958,2021-07-01,Barakaldo
10202,2021-07-01,Bilbao
12217,2021-07-01,Alcobendas
27983,2021-07-01,Mostoles
21854,2021-06-01,Barakaldo
29131,2021-06-01,Bilbao
17437,2021-06-01,Alcobendas
14229,2021-06-01,Mostoles
25095,2021-05-01,Barakaldo
13313,2021-05-01,Bilbao
15631,2021-05-01,Alcobendas
26354,2021-05-01,Mostoles
28742,2021-04-01,Barakaldo
17245,2021-04-01,Bilbao
19007,2021-04-01,Alcobendas
10853,2021-04-01,Mostoles
13211,2021-03-01,Barakaldo
14404,2021-03-01,Bilbao
23529,2021-03-01,Alcobendas
26803,2021-03-01,Mostoles
13936,2021-02-01,Barakaldo
17511,2021-02-01,Bilbao
11025,2021-02-01,Alcobendas
19546,2021-02-01,Mostoles
27241,2021-01-01,Barakaldo
16290,2021-01-01,Bilbao
25046,2021-01-01,Alcobendas
11911,2021-01-01,Mostoles
19308,2020-12-01,Barakaldo
14135,2020-12-01,Bilbao
10965,2020-12-01,Alcobendas
10422,2020-12-01,Mostoles
