usuarios,nombre,fecha
570,Barakaldo,2023-11-01
1073,Barakaldo,2023-10-01
1523,Barakaldo,2023-09-01
526,Barakaldo,2023-08-01
1577,Barakaldo,2023-07-01
925,Barakaldo,2023-06-01
1609,Barakaldo,2023-05-01
1544,Barakaldo,2023-04-01
1220,Barakaldo,2023-03-01
679,Barakaldo,2023-02-01
1450,Barakaldo,2023-01-01
1431,Barakaldo,2022-12-01
1097,Barakaldo,2022-11-01
1923,Barakaldo,2022-10-01
1356,Barakaldo,2022-09-01
1358,Barakaldo,2022-08-01
1340,Barakaldo,2022-07-01
880,Barakaldo,2022-06-01
1982,Barakaldo,2022-05-01
1051,Barakaldo,2022-04-01
1377,Barakaldo,2022-03-01
679,Barakaldo,2022-02-01
1721,Barakaldo,2022-01-01
1182,Barakaldo,2021-12-01
546,Barakaldo,2021-11-01
1868,Barakaldo,2021-10-01
1172,Barakaldo,2021-09-01
1268,Barakaldo,2021-08-01
1234,Barakaldo,2021-07-01
830,Barakaldo,2021-06-01
1855,Barakaldo,2021-05-01
1413,Barakaldo,2021-04-01
888,Barakaldo,2021-03-01
1225,Barakaldo,2021-02-01
802,Barakaldo,2021-01-01
516,Barakaldo,2020-12-01
807,Bilbao,2023-11-01
1710,Bilbao,2023-10-01
1231,Bilbao,2023-09-01
1513,Bilbao,2023-08-01
1027,Bilbao,2023-07-01
500,Bilbao,2023-06-01
1357,Bilbao,2023-05-01
1355,Bilbao,2023-04-01
1828,Bilbao,2023-03-01
1573,Bilbao,2023-02-01
760,Bilbao,2023-01-01
1781,Bilbao,2022-12-01
1177,Bilbao,2022-11-01
909,Bilbao,2022-10-01
1598,Bilbao,2022-09-01
794,Bilbao,2022-08-01
1369,Bilbao,2022-07-01
1172,Bilbao,2022-06-01
1671,Bilbao,2022-05-01
804,Bilbao,2022-04-01
578,Bilbao,2022-03-01
1047,Bilbao,2022-02-01
1581,Bilbao,2022-01-01
1354,Bilbao,2021-12-01
1098,Bilbao,2021-11-01
1788,Bilbao,2021-10-01
1996,Bilbao,2021-09-01
1339,Bilbao,2021-08-01
553,Bilbao,2021-07-01
891,Bilbao,2021-06-01
1723,Bilbao,2021-05-01
909,Bilbao,2021-04-01
612,Bilbao,2021-03-01
1561,Bilbao,2021-02-01
967,Bilbao,2021-01-01
1454,Bilbao,2020-12-01
928,Alcobendas,2023-11-01
1277,Alcobendas,2023-10-01
1564,Alcobendas,2023-09-01
1313,Alcobendas,2023-08-01
667,Alcobendas,2023-07-01
904,Alcobendas,2023-06-01
647,Alcobendas,2023-05-01
944,Alcobendas,2023-04-01
710,Alcobendas,2023-03-01
946,Alcobendas,2023-02-01
1731,Alcobendas,2023-01-01
1629,Alcobendas,2022-12-01
1529,Alcobendas,2022-11-01
1980,Alcobendas,2022-10-01
1678,Alcobendas,2022-09-01
1839,Alcobendas,2022-08-01
1504,Alcobendas,2022-07-01
1079,Alcobendas,2022-06-01
1242,Alcobendas,2022-05-01
916,Alcobendas,2022-04-01
761,Alcobendas,2022-03-01
658,Alcobendas,2022-02-01
624,Alcobendas,2022-01-01
1712,Alcobendas,2021-12-01
1585,Alcobendas,2021-11-01
1651,Alcobendas,2021-10-01
1747,Alcobendas,2021-09-01
1581,Alcobendas,2021-08-01
1476,Alcobendas,2021-07-01
1011,Alcobendas,2021-06-01
1065,Alcobendas,2021-05-01
527,Alcobendas,2021-04-01
1975,Alcobendas,2021-03-01
1723,Alcobendas,2021-02-01
1042,Alcobendas,2021-01-01
1658,Alcobendas,2020-12-01
567,Mostoles,2023-11-01
1808,Mostoles,2023-10-01
1271,Mostoles,2023-09-01
1390,Mostoles,2023-08-01
1699,Mostoles,2023-07-01
1144,Mostoles,2023-06-01
1701,Mostoles,2023-05-01
644,Mostoles,2023-04-01
1460,Mostoles,2023-03-01
1107,Mostoles,2023-02-01
1053,Mostoles,2023-01-01
1282,Mostoles,2022-12-01
1098,Mostoles,2022-11-01
941,Mostoles,2022-10-01
1550,Mostoles,2022-09-01
1602,Mostoles,2022-08-01
1254,Mostoles,2022-07-01
1388,Mostoles,2022-06-01
1671,Mostoles,2022-05-01
717,Mostoles,2022-04-01
794,Mostoles,2022-03-01
1954,Mostoles,2022-02-01
1795,Mostoles,2022-01-01
1213,Mostoles,2021-12-01
506,Mostoles,2021-11-01
1775,Mostoles,2021-10-01
1530,Mostoles,2021-09-01
1715,Mostoles,2021-08-01
951,Mostoles,2021-07-01
1564,Mostoles,2021-06-01
575,Mostoles,2021-05-01
1272,Mostoles,2021-04-01
573,Mostoles,2021-03-01
1235,Mostoles,2021-02-01
1272,Mostoles,2021-01-01
529,Mostoles,2020-12-01
