id,nombre,miembros
1,Barakaldo,107
2,Mostoles,46
3,Mostoles,43
4,Alcobendas,89
5,Barakaldo,82
6,Bilbao,24
7,Bilbao,18
8,Alcobendas,56
9,Alcobendas,72
10,Bilbao,104
11,Bilbao,90
12,Bilbao,66
13,Barakaldo,92
14,Mostoles,39
15,Barakaldo,56
16,Barakaldo,71
17,Alcobendas,24
18,Mostoles,18
19,Barakaldo,49
20,Alcobendas,60
21,Alcobendas,99
22,Bilbao,85
23,Barakaldo,57
24,Bilbao,82
25,Mostoles,97
26,Barakaldo,101
27,Barakaldo,16
28,Mostoles,102
29,Barakaldo,42
30,Bilbao,53
31,Alcobendas,83
32,Mostoles,62
33,Alcobendas,95
34,Bilbao,18
35,Alcobendas,99
36,Mostoles,12
37,Barakaldo,12
38,Alcobendas,34
39,Barakaldo,12
40,Mostoles,34
41,Bilbao,93
42,Bilbao,40
43,Alcobendas,18
44,Mostoles,75
45,Alcobendas,43
46,Bilbao,86
47,Bilbao,30
48,Alcobendas,64
49,Bilbao,32
50,Mostoles,27
51,Mostoles,99
52,Mostoles,71
53,Barakaldo,13
54,Mostoles,51
55,Bilbao,38
56,Bilbao,42
57,Mostoles,43
58,Alcobendas,104
59,Mostoles,19
60,Bilbao,109
61,Alcobendas,109
62,Mostoles,105
63,Barakaldo,46
64,Mostoles,77
65,Mostoles,60
66,Alcobendas,83
67,Mostoles,41
68,Mostoles,11
69,Alcobendas,96
70,Mostoles,60
71,Mostoles,70
72,Alcobendas,90
73,Alcobendas,63
74,Alcobendas,70
75,Bilbao,107
76,Barakaldo,105
77,Bilbao,51
78,Bilbao,90
79,Barakaldo,20
80,Alcobendas,13
81,Mostoles,109
82,Mostoles,16
83,Barakaldo,17
84,Alcobendas,67
85,Mostoles,103
86,Barakaldo,21
87,Barakaldo,94
88,Mostoles,90
89,Bilbao,97
90,Barakaldo,61
91,Alcobendas,63
92,Bilbao,70
93,Alcobendas,32
94,Alcobendas,37
95,Mostoles,59
96,Alcobendas,84
97,Barakaldo,18
98,Mostoles,13
99,Mostoles,58
100,Barakaldo,80
