e,participantes,nombre,fecha_fin
1f2491fae58ec8d2bb3e,131,Bilbao,2022-09-21
5ebce6a1aef593c19cb5,66,Mostoles,2021-06-04
d07175347b7ce9f1db75,146,Barakaldo,2022-06-07
22662fdc2401b20533ad,161,Bilbao,2023-08-09
936830e4982d78e8e4bf,70,Alcobendas,2022-02-04
d559b3203a1a43ab2bd1,120,Mostoles,2021-03-13
22926bd73c5cfc6119dd,97,Alcobendas,2021-10-30
c3c4e73a6ef9c5d406e3,71,Bilbao,2023-08-22
1083019621797f3b6619,114,Mostoles,2021-07-21
67095343db5e0e756439,160,Mostoles,2023-09-09
d01e20e98da2ebfd9ada,130,Alcobendas,2022-08-01
e5646665317358d08edb,167,Alcobendas,2022-03-16
9a34975fc007d3a2cd49,62,Bilbao,2023-10-20
5986b8f8a9fafaeb02aa,134,Bilbao,2021-12-24
b86ce2cf1e7ca4a2445b,106,Mostoles,2021-11-25
821fee81dfef606d15e6,50,Mostoles,2022-01-30
b37828a4eeeca9340335,89,Bilbao,2023-05-03
d2a66114ebf3d2c7dc6b,90,Bilbao,2022-10-14
70bacd06310105eac520,112,Alcobendas,2023-11-20
05f90ee080ab2aabc270,157,Bilbao,2021-03-08
4de446c300a9e8150feb,98,Barakaldo,2023-10-08
9bb7a92907a895df5f9f,119,Alcobendas,2021-07-22
8b4a5ce8c28e25035983,122,Bilbao,2023-08-19
ce4f57a545def25626e1,98,Alcobendas,2023-04-08
8b55cb8417accf7fdc09,30,Bilbao,2023-06-01
e342edf2ee2c86d2df6a,55,Barakaldo,2022-08-02
f498a3867c0b1f146f82,67,Bilbao,2022-07-05
c61393da93de204e66be,132,Bilbao,2021-04-12
ad44babbb9a551f9c622,158,Bilbao,2021-09-11
065273baf31426c32fed,168,Bilbao,2022-05-08
c41bcdbaa4ee13b6cffa,114,Alcobendas,2022-12-18
bc9a8775c22d9780bfc7,147,Mostoles,2022-06-08
6f08463a58f71605b56f,177,Mostoles,2022-09-07
5cf5a1c84c05010e051f,39,Alcobendas,2023-03-06
f67ebf5f5510f723fe9a,120,Mostoles,2021-11-22
b758404ca0443983595f,108,Mostoles,2021-11-22
ef63970626f4b0db43c6,139,Alcobendas,2023-02-19
9a2e16659681c42b127f,35,Barakaldo,2022-07-09
1d5a7897bdc3934d51cf,42,Bilbao,2023-11-05
f537c06d747978fd086c,88,Alcobendas,2022-12-19
80a0c376753cfadb1f68,82,Alcobendas,2023-04-04
0f5ee5a1b5bc9dfde5a1,78,Barakaldo,2023-08-31
3f2c06d7c9a235fde983,173,Mostoles,2023-02-27
a0a3eff7bc4a17e49b38,113,Mostoles,2022-05-30
d8b64a9110c65d05fe30,155,Mostoles,2021-07-08
3f0e37ceb14f20a80799,79,Mostoles,2022-02-28
47085c1c43d29a859a19,111,Mostoles,2023-11-17
859817a2dbaf1e90a1ca,57,Bilbao,2022-09-12
fe9f62bcf85c8d23dbb3,156,Alcobendas,2022-01-14
e22c9223db1bb4306e99,112,Mostoles,2023-01-30
ca1d6a168d855fed59a8,107,Barakaldo,2021-06-10
