id,nombre,nombre_deporte
1,Barakaldo,Voleibol
2,Mostoles,Tenis
3,Mostoles,Baloncesto
4,Alcobendas,Padel
5,Barakaldo,Atletismo
6,Bilbao,Futbol
7,Bilbao,Baloncesto
8,Alcobendas,Futbol
9,Alcobendas,Surf
10,Bilbao,Padel
11,Bilbao,Surf
12,Bilbao,Baloncesto
13,Barakaldo,Voleibol
14,Mostoles,Atletismo
15,Barakaldo,Atletismo
16,Barakaldo,Atletismo
17,Alcobendas,Baloncesto
18,Mostoles,Padel
19,Barakaldo,Baloncesto
20,Alcobendas,Padel
21,Alcobendas,Padel
22,Bilbao,Futbol
23,Barakaldo,Atletismo
24,Bilbao,Voleibol
25,Mostoles,Voleibol
26,Barakaldo,Futbol
27,Barakaldo,Atletismo
28,Mostoles,Surf
29,Barakaldo,Baloncesto
30,Bilbao,Surf
31,Alcobendas,Futbol
32,Mostoles,Baloncesto
33,Alcobendas,Baloncesto
34,Bilbao,Padel
35,Alcobendas,Surf
36,Mostoles,Baloncesto
37,Barakaldo,Surf
38,Alcobendas,Tenis
39,Barakaldo,Atletismo
40,Mostoles,Tenis
41,Bilbao,Padel
42,Bilbao,Surf
43,Alcobendas,Baloncesto
44,Mostoles,Voleibol
45,Alcobendas,Surf
46,Bilbao,Padel
47,Bilbao,Atletismo
48,Alcobendas,Atletismo
49,Bilbao,Surf
50,Mostoles,Atletismo
51,Mostoles,Atletismo
52,Mostoles,Voleibol
53,Barakaldo,Atletismo
54,Mostoles,Atletismo
55,Bilbao,Surf
56,Bilbao,Futbol
57,Mostoles,Padel
58,Alcobendas,Tenis
59,Mostoles,Futbol
60,Bilbao,Padel
61,Alcobendas,Padel
62,Mostoles,Atletismo
63,Barakaldo,Padel
64,Mostoles,Futbol
65,Mostoles,Tenis
66,Alcobendas,Atletismo
67,Mostoles,Futbol
68,Mostoles,Atletismo
69,Alcobendas,Futbol
70,Mostoles,Futbol
71,Mostoles,Surf
72,Alcobendas,Atletismo
73,Alcobendas,Futbol
74,Alcobendas,Atletismo
75,Bilbao,Futbol
76,Barakaldo,Surf
77,Bilbao,Voleibol
78,Bilbao,Surf
79,Barakaldo,Padel
80,Alcobendas,Surf
81,Mostoles,Voleibol
82,Mostoles,Baloncesto
83,Barakaldo,Baloncesto
84,Alcobendas,Tenis
85,Mostoles,Baloncesto
86,Barakaldo,Surf
87,Barakaldo,Surf
88,Mostoles,Tenis
89,Bilbao,Tenis
90,Barakaldo,Baloncesto
91,Alcobendas,Baloncesto
92,Bilbao,Surf
93,Alcobendas,Voleibol
94,Alcobendas,Voleibol
95,Mostoles,Voleibol
96,Alcobendas,Padel
97,Barakaldo,Surf
98,Mostoles,Baloncesto
99,Mostoles,Tenis
100,Barakaldo,Surf
