num_empleos,fecha,nombre
163,2023-11-01,Barakaldo
214,2023-10-01,Barakaldo
443,2023-09-01,Barakaldo
443,2023-08-01,Barakaldo
246,2023-07-01,Barakaldo
445,2023-06-01,Barakaldo
431,2023-05-01,Barakaldo
441,2023-04-01,Barakaldo
488,2023-03-01,Barakaldo
354,2023-02-01,Barakaldo
114,2023-01-01,Barakaldo
142,2022-12-01,Barakaldo
395,2022-11-01,Barakaldo
178,2022-10-01,Barakaldo
412,2022-09-01,Barakaldo
452,2022-08-01,Barakaldo
377,2022-07-01,Barakaldo
317,2022-06-01,Barakaldo
156,2022-05-01,Barakaldo
347,2022-04-01,Barakaldo
308,2022-03-01,Barakaldo
261,2022-02-01,Barakaldo
459,2022-01-01,Barakaldo
184,2021-12-01,Barakaldo
499,2021-11-01,Barakaldo
201,2021-10-01,Barakaldo
154,2021-09-01,Barakaldo
389,2021-08-01,Barakaldo
259,2021-07-01,Barakaldo
133,2021-06-01,Barakaldo
118,2021-05-01,Barakaldo
390,2021-04-01,Barakaldo
380,2021-03-01,Barakaldo
179,2021-02-01,Barakaldo
396,2021-01-01,Barakaldo
304,2020-12-01,Barakaldo
351,2023-11-01,Bilbao
204,2023-10-01,Bilbao
282,2023-09-01,Bilbao
266,2023-08-01,Bilbao
426,2023-07-01,Bilbao
246,2023-06-01,Bilbao
322,2023-05-01,Bilbao
352,2023-04-01,Bilbao
310,2023-03-01,Bilbao
290,2023-02-01,Bilbao
423,2023-01-01,Bilbao
287,2022-12-01,Bilbao
115,2022-11-01,Bilbao
281,2022-10-01,Bilbao
337,2022-09-01,Bilbao
311,2022-08-01,Bilbao
130,2022-07-01,Bilbao
488,2022-06-01,Bilbao
217,2022-05-01,Bilbao
170,2022-04-01,Bilbao
158,2022-03-01,Bilbao
332,2022-02-01,Bilbao
216,2022-01-01,Bilbao
256,2021-12-01,Bilbao
165,2021-11-01,Bilbao
131,2021-10-01,Bilbao
193,2021-09-01,Bilbao
388,2021-08-01,Bilbao
323,2021-07-01,Bilbao
439,2021-06-01,Bilbao
169,2021-05-01,Bilbao
295,2021-04-01,Bilbao
197,2021-03-01,Bilbao
350,2021-02-01,Bilbao
253,2021-01-01,Bilbao
342,2020-12-01,Bilbao
248,2023-11-01,Alcobendas
127,2023-10-01,Alcobendas
255,2023-09-01,Alcobendas
444,2023-08-01,Alcobendas
246,2023-07-01,Alcobendas
489,2023-06-01,Alcobendas
241,2023-05-01,Alcobendas
355,2023-04-01,Alcobendas
323,2023-03-01,Alcobendas
448,2023-02-01,Alcobendas
264,2023-01-01,Alcobendas
340,2022-12-01,Alcobendas
235,2022-11-01,Alcobendas
208,2022-10-01,Alcobendas
181,2022-09-01,Alcobendas
487,2022-08-01,Alcobendas
379,2022-07-01,Alcobendas
397,2022-06-01,Alcobendas
226,2022-05-01,Alcobendas
116,2022-04-01,Alcobendas
290,2022-03-01,Alcobendas
392,2022-02-01,Alcobendas
350,2022-01-01,Alcobendas
339,2021-12-01,Alcobendas
281,2021-11-01,Alcobendas
387,2021-10-01,Alcobendas
201,2021-09-01,Alcobendas
198,2021-08-01,Alcobendas
430,2021-07-01,Alcobendas
442,2021-06-01,Alcobendas
422,2021-05-01,Alcobendas
163,2021-04-01,Alcobendas
202,2021-03-01,Alcobendas
130,2021-02-01,Alcobendas
402,2021-01-01,Alcobendas
142,2020-12-01,Alcobendas
486,2023-11-01,Mostoles
187,2023-10-01,Mostoles
308,2023-09-01,Mostoles
311,2023-08-01,Mostoles
172,2023-07-01,Mostoles
493,2023-06-01,Mostoles
495,2023-05-01,Mostoles
186,2023-04-01,Mostoles
286,2023-03-01,Mostoles
413,2023-02-01,Mostoles
386,2023-01-01,Mostoles
116,2022-12-01,Mostoles
369,2022-11-01,Mostoles
446,2022-10-01,Mostoles
100,2022-09-01,Mostoles
284,2022-08-01,Mostoles
474,2022-07-01,Mostoles
380,2022-06-01,Mostoles
243,2022-05-01,Mostoles
332,2022-04-01,Mostoles
466,2022-03-01,Mostoles
175,2022-02-01,Mostoles
334,2022-01-01,Mostoles
450,2021-12-01,Mostoles
137,2021-11-01,Mostoles
221,2021-10-01,Mostoles
139,2021-09-01,Mostoles
469,2021-08-01,Mostoles
470,2021-07-01,Mostoles
336,2021-06-01,Mostoles
266,2021-05-01,Mostoles
482,2021-04-01,Mostoles
342,2021-03-01,Mostoles
163,2021-02-01,Mostoles
468,2021-01-01,Mostoles
107,2020-12-01,Mostoles
