fecha,cantidad,nombre,nombre_origen
2023-10-30,13470,Barakaldo,Equipamiento deportivo
2023-09-30,8145,Barakaldo,Equipamiento deportivo
2023-08-30,6469,Barakaldo,Equipamiento deportivo
2023-07-30,13021,Barakaldo,Equipamiento deportivo
2023-06-30,10589,Barakaldo,Equipamiento deportivo
2023-05-30,8127,Barakaldo,Equipamiento deportivo
2023-04-30,10808,Barakaldo,Equipamiento deportivo
2023-03-30,8964,Barakaldo,Equipamiento deportivo
2023-02-28,8052,Barakaldo,Equipamiento deportivo
2023-01-30,5102,Barakaldo,Equipamiento deportivo
2022-12-30,7957,Barakaldo,Equipamiento deportivo
2022-11-30,12120,Barakaldo,Equipamiento deportivo
2022-10-30,7355,Barakaldo,Equipamiento deportivo
2022-09-30,12163,Barakaldo,Equipamiento deportivo
2022-08-30,10985,Barakaldo,Equipamiento deportivo
2022-07-30,10597,Barakaldo,Equipamiento deportivo
2022-06-30,11762,Barakaldo,Equipamiento deportivo
2022-05-30,11412,Barakaldo,Equipamiento deportivo
2022-04-30,14951,Barakaldo,Equipamiento deportivo
2022-03-30,7904,Barakaldo,Equipamiento deportivo
2022-02-28,5610,Barakaldo,Equipamiento deportivo
2022-01-30,9771,Barakaldo,Equipamiento deportivo
2021-12-30,8513,Barakaldo,Equipamiento deportivo
2021-11-30,6114,Barakaldo,Equipamiento deportivo
2021-10-30,8828,Barakaldo,Equipamiento deportivo
2021-09-30,11834,Barakaldo,Equipamiento deportivo
2021-08-30,11310,Barakaldo,Equipamiento deportivo
2021-07-30,13315,Barakaldo,Equipamiento deportivo
2021-06-30,7080,Barakaldo,Equipamiento deportivo
2021-05-30,7510,Barakaldo,Equipamiento deportivo
2021-04-30,14938,Barakaldo,Equipamiento deportivo
2021-03-30,10571,Barakaldo,Equipamiento deportivo
2021-02-28,6210,Barakaldo,Equipamiento deportivo
2021-01-30,5264,Barakaldo,Equipamiento deportivo
2020-12-30,10121,Barakaldo,Equipamiento deportivo
2020-11-30,5767,Barakaldo,Equipamiento deportivo
2023-10-30,11655,Barakaldo,Tributarios
2023-09-30,6809,Barakaldo,Tributarios
2023-08-30,5719,Barakaldo,Tributarios
2023-07-30,11707,Barakaldo,Tributarios
2023-06-30,6170,Barakaldo,Tributarios
2023-05-30,7366,Barakaldo,Tributarios
2023-04-30,8807,Barakaldo,Tributarios
2023-03-30,11959,Barakaldo,Tributarios
2023-02-28,11269,Barakaldo,Tributarios
2023-01-30,11259,Barakaldo,Tributarios
2022-12-30,9497,Barakaldo,Tributarios
2022-11-30,13501,Barakaldo,Tributarios
2022-10-30,11554,Barakaldo,Tributarios
2022-09-30,5655,Barakaldo,Tributarios
2022-08-30,9763,Barakaldo,Tributarios
2022-07-30,10227,Barakaldo,Tributarios
2022-06-30,5391,Barakaldo,Tributarios
2022-05-30,14136,Barakaldo,Tributarios
2022-04-30,5199,Barakaldo,Tributarios
2022-03-30,5522,Barakaldo,Tributarios
2022-02-28,8108,Barakaldo,Tributarios
2022-01-30,5537,Barakaldo,Tributarios
2021-12-30,10552,Barakaldo,Tributarios
2021-11-30,7089,Barakaldo,Tributarios
2021-10-30,13947,Barakaldo,Tributarios
2021-09-30,14469,Barakaldo,Tributarios
2021-08-30,9891,Barakaldo,Tributarios
2021-07-30,9265,Barakaldo,Tributarios
2021-06-30,13683,Barakaldo,Tributarios
2021-05-30,6453,Barakaldo,Tributarios
2021-04-30,6147,Barakaldo,Tributarios
2021-03-30,10350,Barakaldo,Tributarios
2021-02-28,5425,Barakaldo,Tributarios
2021-01-30,8940,Barakaldo,Tributarios
2020-12-30,11384,Barakaldo,Tributarios
2020-11-30,7939,Barakaldo,Tributarios
2023-10-30,5097,Barakaldo,Negocios locales
2023-09-30,7034,Barakaldo,Negocios locales
2023-08-30,11969,Barakaldo,Negocios locales
2023-07-30,8496,Barakaldo,Negocios locales
2023-06-30,10224,Barakaldo,Negocios locales
2023-05-30,9897,Barakaldo,Negocios locales
2023-04-30,13528,Barakaldo,Negocios locales
2023-03-30,8042,Barakaldo,Negocios locales
2023-02-28,9554,Barakaldo,Negocios locales
2023-01-30,6974,Barakaldo,Negocios locales
2022-12-30,10523,Barakaldo,Negocios locales
2022-11-30,14932,Barakaldo,Negocios locales
2022-10-30,11865,Barakaldo,Negocios locales
2022-09-30,6857,Barakaldo,Negocios locales
2022-08-30,8844,Barakaldo,Negocios locales
2022-07-30,9448,Barakaldo,Negocios locales
2022-06-30,9058,Barakaldo,Negocios locales
2022-05-30,11168,Barakaldo,Negocios locales
2022-04-30,6346,Barakaldo,Negocios locales
2022-03-30,6110,Barakaldo,Negocios locales
2022-02-28,11599,Barakaldo,Negocios locales
2022-01-30,10013,Barakaldo,Negocios locales
2021-12-30,12696,Barakaldo,Negocios locales
2021-11-30,5696,Barakaldo,Negocios locales
2021-10-30,13032,Barakaldo,Negocios locales
2021-09-30,8606,Barakaldo,Negocios locales
2021-08-30,13652,Barakaldo,Negocios locales
2021-07-30,14546,Barakaldo,Negocios locales
2021-06-30,5174,Barakaldo,Negocios locales
2021-05-30,9466,Barakaldo,Negocios locales
2021-04-30,5549,Barakaldo,Negocios locales
2021-03-30,7741,Barakaldo,Negocios locales
2021-02-28,6497,Barakaldo,Negocios locales
2021-01-30,14502,Barakaldo,Negocios locales
2020-12-30,8592,Barakaldo,Negocios locales
2020-11-30,11327,Barakaldo,Negocios locales
2023-10-30,14000,Barakaldo,Subvenciones
2023-09-30,13163,Barakaldo,Subvenciones
2023-08-30,5034,Barakaldo,Subvenciones
2023-07-30,12463,Barakaldo,Subvenciones
