fecha,cantidad,nombre,tipo_inversion
2023-10-30,12133,Barakaldo,Eventos
2023-09-30,6855,Barakaldo,Eventos
2023-08-30,6504,Barakaldo,Eventos
2023-07-30,7073,Barakaldo,Eventos
2023-06-30,10005,Barakaldo,Eventos
2023-05-30,9951,Barakaldo,Eventos
2023-04-30,6948,Barakaldo,Eventos
2023-03-30,8425,Barakaldo,Eventos
2023-02-28,5239,Barakaldo,Eventos
2023-01-30,14768,Barakaldo,Eventos
2022-12-30,5631,Barakaldo,Eventos
2022-11-30,13163,Barakaldo,Eventos
2022-10-30,8537,Barakaldo,Eventos
2022-09-30,13593,Barakaldo,Eventos
2022-08-30,5783,Barakaldo,Eventos
2022-07-30,12382,Barakaldo,Eventos
2022-06-30,9580,Barakaldo,Eventos
2022-05-30,6443,Barakaldo,Eventos
2022-04-30,6722,Barakaldo,Eventos
2022-03-30,14458,Barakaldo,Eventos
2022-02-28,9427,Barakaldo,Eventos
2022-01-30,5733,Barakaldo,Eventos
2021-12-30,8397,Barakaldo,Eventos
2021-11-30,6593,Barakaldo,Eventos
2021-10-30,9042,Barakaldo,Eventos
2021-09-30,6219,Barakaldo,Eventos
2021-08-30,9491,Barakaldo,Eventos
2021-07-30,10267,Barakaldo,Eventos
2021-06-30,14161,Barakaldo,Eventos
2021-05-30,14701,Barakaldo,Eventos
2021-04-30,14995,Barakaldo,Eventos
2021-03-30,5301,Barakaldo,Eventos
2021-02-28,7870,Barakaldo,Eventos
2021-01-30,8076,Barakaldo,Eventos
2020-12-30,13528,Barakaldo,Eventos
2020-11-30,14408,Barakaldo,Eventos
2023-10-30,11070,Barakaldo,Instalaciones
2023-09-30,10375,Barakaldo,Instalaciones
2023-08-30,7361,Barakaldo,Instalaciones
2023-07-30,12038,Barakaldo,Instalaciones
2023-06-30,6891,Barakaldo,Instalaciones
2023-05-30,12836,Barakaldo,Instalaciones
2023-04-30,14096,Barakaldo,Instalaciones
2023-03-30,9051,Barakaldo,Instalaciones
2023-02-28,9318,Barakaldo,Instalaciones
2023-01-30,12727,Barakaldo,Instalaciones
2022-12-30,10873,Barakaldo,Instalaciones
2022-11-30,13816,Barakaldo,Instalaciones
2022-10-30,13520,Barakaldo,Instalaciones
2022-09-30,8934,Barakaldo,Instalaciones
2022-08-30,12744,Barakaldo,Instalaciones
2022-07-30,13478,Barakaldo,Instalaciones
2022-06-30,7195,Barakaldo,Instalaciones
2022-05-30,6268,Barakaldo,Instalaciones
2022-04-30,11821,Barakaldo,Instalaciones
2022-03-30,8380,Barakaldo,Instalaciones
2022-02-28,8698,Barakaldo,Instalaciones
2022-01-30,7497,Barakaldo,Instalaciones
2021-12-30,13750,Barakaldo,Instalaciones
2021-11-30,12299,Barakaldo,Instalaciones
2021-10-30,10578,Barakaldo,Instalaciones
2021-09-30,7234,Barakaldo,Instalaciones
2021-08-30,11137,Barakaldo,Instalaciones
2021-07-30,9837,Barakaldo,Instalaciones
2021-06-30,11970,Barakaldo,Instalaciones
2021-05-30,5687,Barakaldo,Instalaciones
2021-04-30,8305,Barakaldo,Instalaciones
2021-03-30,5894,Barakaldo,Instalaciones
2021-02-28,11926,Barakaldo,Instalaciones
2021-01-30,11817,Barakaldo,Instalaciones
2020-12-30,9249,Barakaldo,Instalaciones
2020-11-30,5784,Barakaldo,Instalaciones
2023-10-30,9260,Barakaldo,Promocion turismo deportivo
2023-09-30,14443,Barakaldo,Promocion turismo deportivo
2023-08-30,7148,Barakaldo,Promocion turismo deportivo
2023-07-30,5678,Barakaldo,Promocion turismo deportivo
2023-06-30,14917,Barakaldo,Promocion turismo deportivo
2023-05-30,9220,Barakaldo,Promocion turismo deportivo
2023-04-30,13196,Barakaldo,Promocion turismo deportivo
2023-03-30,13399,Barakaldo,Promocion turismo deportivo
2023-02-28,6610,Barakaldo,Promocion turismo deportivo
2023-01-30,8114,Barakaldo,Promocion turismo deportivo
2022-12-30,8929,Barakaldo,Promocion turismo deportivo
2022-11-30,8160,Barakaldo,Promocion turismo deportivo
2022-10-30,14950,Barakaldo,Promocion turismo deportivo
2022-09-30,12950,Barakaldo,Promocion turismo deportivo
2022-08-30,6357,Barakaldo,Promocion turismo deportivo
2022-07-30,12862,Barakaldo,Promocion turismo deportivo
2022-06-30,7117,Barakaldo,Promocion turismo deportivo
2022-05-30,13788,Barakaldo,Promocion turismo deportivo
2022-04-30,5922,Barakaldo,Promocion turismo deportivo
2022-03-30,14714,Barakaldo,Promocion turismo deportivo
2022-02-28,11108,Barakaldo,Promocion turismo deportivo
2022-01-30,7367,Barakaldo,Promocion turismo deportivo
2021-12-30,13199,Barakaldo,Promocion turismo deportivo
2021-11-30,13951,Barakaldo,Promocion turismo deportivo
2021-10-30,7630,Barakaldo,Promocion turismo deportivo
2021-09-30,7588,Barakaldo,Promocion turismo deportivo
