indice_aire,nombre,fecha
79,Barakaldo,2023-12-03
116,Barakaldo,2023-12-02
185,Barakaldo,2023-12-01
215,Barakaldo,2023-11-30
152,Barakaldo,2023-11-29
130,Barakaldo,2023-11-28
119,Barakaldo,2023-11-27
175,Barakaldo,2023-11-26
218,Barakaldo,2023-11-25
134,Barakaldo,2023-11-24
172,Barakaldo,2023-11-23
100,Barakaldo,2023-11-22
136,Barakaldo,2023-11-21
116,Barakaldo,2023-11-20
252,Barakaldo,2023-11-19
85,Barakaldo,2023-11-18
75,Barakaldo,2023-11-17
290,Barakaldo,2023-11-16
45,Barakaldo,2023-11-15
53,Barakaldo,2023-11-14
12,Barakaldo,2023-11-13
149,Barakaldo,2023-11-12
68,Barakaldo,2023-11-11
49,Barakaldo,2023-11-10
220,Barakaldo,2023-11-09
177,Barakaldo,2023-11-08
246,Barakaldo,2023-11-07
282,Barakaldo,2023-11-06
80,Barakaldo,2023-11-05
184,Barakaldo,2023-11-04
119,Barakaldo,2023-11-03
176,Barakaldo,2023-11-02
129,Barakaldo,2023-11-01
30,Barakaldo,2023-10-31
73,Barakaldo,2023-10-30
265,Barakaldo,2023-10-29
28,Barakaldo,2023-10-28
156,Barakaldo,2023-10-27
78,Barakaldo,2023-10-26
60,Barakaldo,2023-10-25
201,Barakaldo,2023-10-24
27,Barakaldo,2023-10-23
274,Barakaldo,2023-10-22
68,Barakaldo,2023-10-21
292,Barakaldo,2023-10-20
164,Barakaldo,2023-10-19
19,Barakaldo,2023-10-18
28,Barakaldo,2023-10-17
236,Barakaldo,2023-10-16
28,Barakaldo,2023-10-15
205,Barakaldo,2023-10-14
216,Barakaldo,2023-10-13
241,Barakaldo,2023-10-12
267,Barakaldo,2023-10-11
217,Barakaldo,2023-10-10
113,Barakaldo,2023-10-09
224,Barakaldo,2023-10-08
237,Barakaldo,2023-10-07
166,Barakaldo,2023-10-06
252,Barakaldo,2023-10-05
256,Barakaldo,2023-10-04
82,Barakaldo,2023-10-03
234,Barakaldo,2023-10-02
187,Barakaldo,2023-10-01
299,Barakaldo,2023-09-30
206,Barakaldo,2023-09-29
111,Barakaldo,2023-09-28
38,Barakaldo,2023-09-27
46,Barakaldo,2023-09-26
95,Barakaldo,2023-09-25
117,Barakaldo,2023-09-24
222,Barakaldo,2023-09-23
2,Barakaldo,2023-09-22
253,Barakaldo,2023-09-21
234,Barakaldo,2023-09-20
57,Barakaldo,2023-09-19
250,Barakaldo,2023-09-18
68,Barakaldo,2023-09-17
279,Barakaldo,2023-09-16
214,Barakaldo,2023-09-15
10,Barakaldo,2023-09-14
33,Barakaldo,2023-09-13
22,Barakaldo,2023-09-12
247,Barakaldo,2023-09-11
274,Barakaldo,2023-09-10
64,Barakaldo,2023-09-09
202,Barakaldo,2023-09-08
222,Barakaldo,2023-09-07
172,Barakaldo,2023-09-06
115,Barakaldo,2023-09-05
103,Barakaldo,2023-09-04
237,Barakaldo,2023-09-03
16,Barakaldo,2023-09-02
62,Barakaldo,2023-09-01
11,Barakaldo,2023-08-31
86,Barakaldo,2023-08-30
11,Barakaldo,2023-08-29
117,Barakaldo,2023-08-28
135,Barakaldo,2023-08-27
227,Barakaldo,2023-08-26
235,Barakaldo,2023-08-25
96,Barakaldo,2023-08-24
281,Barakaldo,2023-08-23
150,Barakaldo,2023-08-22
37,Barakaldo,2023-08-21
141,Barakaldo,2023-08-20
109,Barakaldo,2023-08-19
251,Barakaldo,2023-08-18
193,Barakaldo,2023-08-17
181,Barakaldo,2023-08-16
211,Barakaldo,2023-08-15
165,Barakaldo,2023-08-14
121,Barakaldo,2023-08-13
274,Barakaldo,2023-08-12
90,Barakaldo,2023-08-11
100,Barakaldo,2023-08-10
249,Barakaldo,2023-08-09
168,Barakaldo,2023-08-08
25,Barakaldo,2023-08-07
102,Barakaldo,2023-08-06
185,Barakaldo,2023-08-05
81,Barakaldo,2023-08-04
62,Barakaldo,2023-08-03
19,Barakaldo,2023-08-02
231,Barakaldo,2023-08-01
274,Barakaldo,2023-07-31
249,Barakaldo,2023-07-30
42,Barakaldo,2023-07-29
46,Barakaldo,2023-07-28
71,Barakaldo,2023-07-27
24,Barakaldo,2023-07-26
265,Barakaldo,2023-07-25
45,Barakaldo,2023-07-24
55,Barakaldo,2023-07-23
111,Barakaldo,2023-07-22
172,Barakaldo,2023-07-21
84,Barakaldo,2023-07-20
149,Barakaldo,2023-07-19
