ruido4,ruido12,ruido20,nombre,fecha
38,119,48,Barakaldo,2023-11-30
39,133,71,Bilbao,2023-11-30
35,106,56,Alcobendas,2023-11-30
58,122,49,Mostoles,2023-11-30
45,71,98,Barakaldo,2023-11-29
61,129,73,Bilbao,2023-11-29
39,103,72,Alcobendas,2023-11-29
33,77,76,Mostoles,2023-11-29
66,72,93,Barakaldo,2023-11-28
37,111,83,Bilbao,2023-11-28
35,125,58,Alcobendas,2023-11-28
43,127,97,Mostoles,2023-11-28
56,133,90,Barakaldo,2023-11-27
44,110,81,Bilbao,2023-11-27
57,124,50,Alcobendas,2023-11-27
49,119,55,Mostoles,2023-11-27
41,104,92,Barakaldo,2023-11-26
30,67,74,Bilbao,2023-11-26
42,118,43,Alcobendas,2023-11-26
46,64,96,Mostoles,2023-11-26
36,100,85,Barakaldo,2023-11-25
30,132,71,Bilbao,2023-11-25
40,95,61,Alcobendas,2023-11-25
56,88,90,Mostoles,2023-11-25
42,67,68,Barakaldo,2023-11-24
78,132,63,Bilbao,2023-11-24
79,123,91,Alcobendas,2023-11-24
65,104,83,Mostoles,2023-11-24
64,61,64,Barakaldo,2023-11-23
72,106,72,Bilbao,2023-11-23
33,61,46,Alcobendas,2023-11-23
68,63,72,Mostoles,2023-11-23
68,116,72,Barakaldo,2023-11-22
37,97,90,Bilbao,2023-11-22
55,113,40,Alcobendas,2023-11-22
74,93,91,Mostoles,2023-11-22
44,73,48,Barakaldo,2023-11-21
59,122,58,Bilbao,2023-11-21
57,114,86,Alcobendas,2023-11-21
33,126,93,Mostoles,2023-11-21
35,104,49,Barakaldo,2023-11-20
32,108,65,Bilbao,2023-11-20
74,120,74,Alcobendas,2023-11-20
69,133,41,Mostoles,2023-11-20
46,89,60,Barakaldo,2023-11-19
55,71,82,Bilbao,2023-11-19
58,130,99,Alcobendas,2023-11-19
30,126,88,Mostoles,2023-11-19
52,90,58,Barakaldo,2023-11-18
61,63,45,Bilbao,2023-11-18
30,105,90,Alcobendas,2023-11-18
41,100,95,Mostoles,2023-11-18
48,109,64,Barakaldo,2023-11-17
55,111,53,Bilbao,2023-11-17
43,104,72,Alcobendas,2023-11-17
55,78,51,Mostoles,2023-11-17
69,88,52,Barakaldo,2023-11-16
34,98,54,Bilbao,2023-11-16
46,64,70,Alcobendas,2023-11-16
51,98,54,Mostoles,2023-11-16
73,113,86,Barakaldo,2023-11-15
75,113,82,Bilbao,2023-11-15
42,134,59,Alcobendas,2023-11-15
67,110,67,Mostoles,2023-11-15
42,128,41,Barakaldo,2023-11-14
72,85,91,Bilbao,2023-11-14
50,135,82,Alcobendas,2023-11-14
63,106,52,Mostoles,2023-11-14
