papel,organico,envases,nombre,fecha
7234,13223,11559,Barakaldo,2023-11-01
5338,6856,10917,Bilbao,2023-11-01
8371,13950,6930,Alcobendas,2023-11-01
7899,13011,6210,Mostoles,2023-11-01
13267,11657,5453,Barakaldo,2023-10-01
5519,7409,14322,Bilbao,2023-10-01
12985,11346,5231,Alcobendas,2023-10-01
14908,11057,10870,Mostoles,2023-10-01
14377,9577,5435,Barakaldo,2023-09-01
7816,6732,6986,Bilbao,2023-09-01
14263,14615,14896,Alcobendas,2023-09-01
12403,12656,14901,Mostoles,2023-09-01
13186,9635,9490,Barakaldo,2023-08-01
9714,13027,9370,Bilbao,2023-08-01
8005,6795,10115,Alcobendas,2023-08-01
10886,13950,9278,Mostoles,2023-08-01
8872,9106,9724,Barakaldo,2023-07-01
11334,5653,7030,Bilbao,2023-07-01
12379,9427,7230,Alcobendas,2023-07-01
9862,11788,14038,Mostoles,2023-07-01
6850,7704,13631,Barakaldo,2023-06-01
7448,10412,10114,Bilbao,2023-06-01
13545,13017,13645,Alcobendas,2023-06-01
6477,12776,8261,Mostoles,2023-06-01
11522,7267,10255,Barakaldo,2023-05-01
5977,13310,8528,Bilbao,2023-05-01
10106,13135,14736,Alcobendas,2023-05-01
9999,8676,7272,Mostoles,2023-05-01
8020,9412,5343,Barakaldo,2023-04-01
11735,11461,11233,Bilbao,2023-04-01
7456,12753,8026,Alcobendas,2023-04-01
7009,5925,5538,Mostoles,2023-04-01
8419,13301,14155,Barakaldo,2023-03-01
9359,6449,6814,Bilbao,2023-03-01
12922,9197,10154,Alcobendas,2023-03-01
14125,14912,11075,Mostoles,2023-03-01
10290,11332,11350,Barakaldo,2023-02-01
5869,11210,13462,Bilbao,2023-02-01
6833,8355,13111,Alcobendas,2023-02-01
7059,7324,12248,Mostoles,2023-02-01
11169,13311,14473,Barakaldo,2023-01-01
8826,12689,7415,Bilbao,2023-01-01
8977,7002,12225,Alcobendas,2023-01-01
11915,12886,7194,Mostoles,2023-01-01
10802,9472,7458,Barakaldo,2022-12-01
14009,9840,13432,Bilbao,2022-12-01
10123,6820,13054,Alcobendas,2022-12-01
13946,6373,13754,Mostoles,2022-12-01
14177,14278,9265,Barakaldo,2022-11-01
8062,7089,11412,Bilbao,2022-11-01
12367,7825,6383,Alcobendas,2022-11-01
11639,10839,7417,Mostoles,2022-11-01
6164,8332,7795,Barakaldo,2022-10-01
8496,13768,13104,Bilbao,2022-10-01
12840,9951,7065,Alcobendas,2022-10-01
7848,8201,12706,Mostoles,2022-10-01
13135,6906,12380,Barakaldo,2022-09-01
10380,8429,9116,Bilbao,2022-09-01
13038,5903,10602,Alcobendas,2022-09-01
11982,6160,10449,Mostoles,2022-09-01
6738,14772,8012,Barakaldo,2022-08-01
6248,5829,12117,Bilbao,2022-08-01
10733,6317,11635,Alcobendas,2022-08-01
6653,13785,7958,Mostoles,2022-08-01
9658,7416,8698,Barakaldo,2022-07-01
11303,12788,8969,Bilbao,2022-07-01
5496,5905,6600,Alcobendas,2022-07-01
11913,13086,9415,Mostoles,2022-07-01
6099,14608,5497,Barakaldo,2022-06-01
8504,5597,5337,Bilbao,2022-06-01
9525,11448,12489,Alcobendas,2022-06-01
9937,11750,10192,Mostoles,2022-06-01
10066,10190,10477,Barakaldo,2022-05-01
9137,6107,7381,Bilbao,2022-05-01
7334,5166,9176,Alcobendas,2022-05-01
11753,12492,6892,Mostoles,2022-05-01
10356,10310,11477,Barakaldo,2022-04-01
11116,10489,9047,Bilbao,2022-04-01
5334,9598,11309,Alcobendas,2022-04-01
6116,6870,7164,Mostoles,2022-04-01
11472,14751,13816,Barakaldo,2022-03-01
14427,14914,11195,Bilbao,2022-03-01
12170,8295,9989,Alcobendas,2022-03-01
13795,8888,12515,Mostoles,2022-03-01
7067,13283,5244,Barakaldo,2022-02-01
6393,6242,12510,Bilbao,2022-02-01
14520,14539,5030,Alcobendas,2022-02-01
10004,14456,8114,Mostoles,2022-02-01
5780,11754,5028,Barakaldo,2022-01-01
7203,5330,7653,Bilbao,2022-01-01
9843,13258,6553,Alcobendas,2022-01-01
14406,13091,5930,Mostoles,2022-01-01
5716,14027,9501,Barakaldo,2021-12-01
12325,11776,7207,Bilbao,2021-12-01
6073,8134,14184,Alcobendas,2021-12-01
14543,14891,8308,Mostoles,2021-12-01
11720,13576,5967,Barakaldo,2021-11-01
14939,14879,7073,Bilbao,2021-11-01
9661,11645,12613,Alcobendas,2021-11-01
11595,8372,5384,Mostoles,2021-11-01
11141,8001,7987,Barakaldo,2021-10-01
