co2,ch4,n2o,fecha,nombre
583,533,705,2023-12-03,Barakaldo
424,607,718,2023-12-02,Barakaldo
734,831,578,2023-12-01,Barakaldo
759,761,661,2023-11-30,Barakaldo
919,678,998,2023-11-29,Barakaldo
970,702,879,2023-11-28,Barakaldo
652,875,464,2023-11-27,Barakaldo
834,835,571,2023-11-26,Barakaldo
406,348,774,2023-11-25,Barakaldo
557,874,521,2023-11-24,Barakaldo
803,548,997,2023-11-23,Barakaldo
347,341,678,2023-11-22,Barakaldo
519,441,539,2023-11-21,Barakaldo
376,675,452,2023-11-20,Barakaldo
421,435,749,2023-11-19,Barakaldo
349,802,959,2023-11-18,Barakaldo
347,995,695,2023-11-17,Barakaldo
795,638,492,2023-11-16,Barakaldo
655,959,733,2023-11-15,Barakaldo
855,411,526,2023-11-14,Barakaldo
656,359,820,2023-11-13,Barakaldo
396,941,868,2023-11-12,Barakaldo
964,558,698,2023-11-11,Barakaldo
357,422,518,2023-11-10,Barakaldo
687,818,572,2023-11-09,Barakaldo
992,757,373,2023-11-08,Barakaldo
573,329,896,2023-11-07,Barakaldo
907,481,598,2023-11-06,Barakaldo
519,973,493,2023-11-05,Barakaldo
372,562,784,2023-11-04,Barakaldo
444,803,650,2023-11-03,Barakaldo
613,976,766,2023-11-02,Barakaldo
311,900,430,2023-11-01,Barakaldo
860,692,618,2023-10-31,Barakaldo
648,499,651,2023-10-30,Barakaldo
329,562,717,2023-10-29,Barakaldo
535,751,474,2023-10-28,Barakaldo
411,862,667,2023-10-27,Barakaldo
841,466,659,2023-10-26,Barakaldo
426,991,404,2023-10-25,Barakaldo
448,952,396,2023-10-24,Barakaldo
970,619,530,2023-10-23,Barakaldo
475,989,590,2023-10-22,Barakaldo
789,764,699,2023-10-21,Barakaldo
664,423,743,2023-10-20,Barakaldo
460,857,554,2023-10-19,Barakaldo
499,650,522,2023-10-18,Barakaldo
565,577,441,2023-10-17,Barakaldo
423,621,500,2023-10-16,Barakaldo
691,433,628,2023-10-15,Barakaldo
738,356,925,2023-10-14,Barakaldo
664,320,332,2023-10-13,Barakaldo
677,993,445,2023-10-12,Barakaldo
694,965,811,2023-10-11,Barakaldo
636,458,423,2023-10-10,Barakaldo
977,472,508,2023-10-09,Barakaldo
438,963,460,2023-10-08,Barakaldo
