ruido4,ruido12,ruido20,fecha,nombre
38,119,48,2023-11-30,Barakaldo
39,133,71,2023-11-30,Bilbao
35,106,56,2023-11-30,Alcobendas
58,122,49,2023-11-30,Mostoles
45,71,98,2023-11-29,Barakaldo
61,129,73,2023-11-29,Bilbao
39,103,72,2023-11-29,Alcobendas
33,77,76,2023-11-29,Mostoles
66,72,93,2023-11-28,Barakaldo
37,111,83,2023-11-28,Bilbao
35,125,58,2023-11-28,Alcobendas
43,127,97,2023-11-28,Mostoles
56,133,90,2023-11-27,Barakaldo
44,110,81,2023-11-27,Bilbao
57,124,50,2023-11-27,Alcobendas
49,119,55,2023-11-27,Mostoles
41,104,92,2023-11-26,Barakaldo
30,67,74,2023-11-26,Bilbao
42,118,43,2023-11-26,Alcobendas
46,64,96,2023-11-26,Mostoles
36,100,85,2023-11-25,Barakaldo
30,132,71,2023-11-25,Bilbao
40,95,61,2023-11-25,Alcobendas
56,88,90,2023-11-25,Mostoles
42,67,68,2023-11-24,Barakaldo
78,132,63,2023-11-24,Bilbao
79,123,91,2023-11-24,Alcobendas
65,104,83,2023-11-24,Mostoles
64,61,64,2023-11-23,Barakaldo
72,106,72,2023-11-23,Bilbao
33,61,46,2023-11-23,Alcobendas
68,63,72,2023-11-23,Mostoles
68,116,72,2023-11-22,Barakaldo
37,97,90,2023-11-22,Bilbao
55,113,40,2023-11-22,Alcobendas
74,93,91,2023-11-22,Mostoles
44,73,48,2023-11-21,Barakaldo
59,122,58,2023-11-21,Bilbao
57,114,86,2023-11-21,Alcobendas
33,126,93,2023-11-21,Mostoles
35,104,49,2023-11-20,Barakaldo
32,108,65,2023-11-20,Bilbao
74,120,74,2023-11-20,Alcobendas
69,133,41,2023-11-20,Mostoles
46,89,60,2023-11-19,Barakaldo
55,71,82,2023-11-19,Bilbao
58,130,99,2023-11-19,Alcobendas
30,126,88,2023-11-19,Mostoles
52,90,58,2023-11-18,Barakaldo
61,63,45,2023-11-18,Bilbao
30,105,90,2023-11-18,Alcobendas
41,100,95,2023-11-18,Mostoles
48,109,64,2023-11-17,Barakaldo
55,111,53,2023-11-17,Bilbao
43,104,72,2023-11-17,Alcobendas
55,78,51,2023-11-17,Mostoles
69,88,52,2023-11-16,Barakaldo
34,98,54,2023-11-16,Bilbao
46,64,70,2023-11-16,Alcobendas
51,98,54,2023-11-16,Mostoles
73,113,86,2023-11-15,Barakaldo
75,113,82,2023-11-15,Bilbao
42,134,59,2023-11-15,Alcobendas
67,110,67,2023-11-15,Mostoles
42,128,41,2023-11-14,Barakaldo
72,85,91,2023-11-14,Bilbao
50,135,82,2023-11-14,Alcobendas
63,106,52,2023-11-14,Mostoles
64,103,46,2023-11-13,Barakaldo
53,92,86,2023-11-13,Bilbao
69,130,80,2023-11-13,Alcobendas
64,70,53,2023-11-13,Mostoles
33,76,47,2023-11-12,Barakaldo
30,127,45,2023-11-12,Bilbao
56,135,48,2023-11-12,Alcobendas
62,133,75,2023-11-12,Mostoles
61,74,73,2023-11-11,Barakaldo
35,135,68,2023-11-11,Bilbao
71,73,78,2023-11-11,Alcobendas
34,66,76,2023-11-11,Mostoles
47,115,72,2023-11-10,Barakaldo
32,76,69,2023-11-10,Bilbao
36,139,96,2023-11-10,Alcobendas
34,139,69,2023-11-10,Mostoles
53,119,97,2023-11-09,Barakaldo
78,114,80,2023-11-09,Bilbao
62,119,48,2023-11-09,Alcobendas
74,125,63,2023-11-09,Mostoles
57,118,40,2023-11-08,Barakaldo
43,122,59,2023-11-08,Bilbao
74,107,59,2023-11-08,Alcobendas
47,121,76,2023-11-08,Mostoles
74,107,82,2023-11-07,Barakaldo
43,63,64,2023-11-07,Bilbao
36,132,59,2023-11-07,Alcobendas
35,62,91,2023-11-07,Mostoles
35,118,67,2023-11-06,Barakaldo
57,109,47,2023-11-06,Bilbao
70,102,51,2023-11-06,Alcobendas
64,134,83,2023-11-06,Mostoles
38,91,88,2023-11-05,Barakaldo
44,79,67,2023-11-05,Bilbao
36,90,42,2023-11-05,Alcobendas
54,104,40,2023-11-05,Mostoles
47,111,60,2023-11-04,Barakaldo
45,139,84,2023-11-04,Bilbao
39,126,72,2023-11-04,Alcobendas
52,108,97,2023-11-04,Mostoles
53,86,52,2023-11-03,Barakaldo
51,65,60,2023-11-03,Bilbao
55,133,72,2023-11-03,Alcobendas
46,123,79,2023-11-03,Mostoles
44,107,67,2023-11-02,Barakaldo
69,67,95,2023-11-02,Bilbao
75,60,44,2023-11-02,Alcobendas
34,132,82,2023-11-02,Mostoles
34,112,87,2023-11-01,Barakaldo
49,139,93,2023-11-01,Bilbao
74,96,67,2023-11-01,Alcobendas
55,77,94,2023-11-01,Mostoles
54,125,75,2023-10-31,Barakaldo
30,76,95,2023-10-31,Bilbao
38,63,64,2023-10-31,Alcobendas
55,131,86,2023-10-31,Mostoles
63,91,63,2023-10-30,Barakaldo
59,100,57,2023-10-30,Bilbao
42,127,56,2023-10-30,Alcobendas
34,96,80,2023-10-30,Mostoles
34,108,93,2023-10-29,Barakaldo
44,112,95,2023-10-29,Bilbao
58,112,87,2023-10-29,Alcobendas
33,92,55,2023-10-29,Mostoles
61,77,57,2023-10-28,Barakaldo
71,125,93,2023-10-28,Bilbao
76,115,90,2023-10-28,Alcobendas
35,125,98,2023-10-28,Mostoles
59,80,63,2023-10-27,Barakaldo
44,65,85,2023-10-27,Bilbao
74,90,40,2023-10-27,Alcobendas
44,92,47,2023-10-27,Mostoles
62,103,72,2023-10-26,Barakaldo
78,61,75,2023-10-26,Bilbao
55,116,51,2023-10-26,Alcobendas
70,62,91,2023-10-26,Mostoles
74,72,84,2023-10-25,Barakaldo
61,63,99,2023-10-25,Bilbao
78,101,60,2023-10-25,Alcobendas
58,95,86,2023-10-25,Mostoles
78,92,64,2023-10-24,Barakaldo
76,135,91,2023-10-24,Bilbao
54,71,87,2023-10-24,Alcobendas
66,88,81,2023-10-24,Mostoles
72,84,58,2023-10-23,Barakaldo
58,82,79,2023-10-23,Bilbao
38,81,96,2023-10-23,Alcobendas
69,116,76,2023-10-23,Mostoles
42,88,61,2023-10-22,Barakaldo
50,132,65,2023-10-22,Bilbao
54,124,65,2023-10-22,Alcobendas
30,61,44,2023-10-22,Mostoles
66,67,87,2023-10-21,Barakaldo
51,133,96,2023-10-21,Bilbao
66,122,56,2023-10-21,Alcobendas
55,76,40,2023-10-21,Mostoles
67,132,72,2023-10-20,Barakaldo
35,87,74,2023-10-20,Bilbao
32,72,90,2023-10-20,Alcobendas
57,68,65,2023-10-20,Mostoles
58,98,80,2023-10-19,Barakaldo
63,72,48,2023-10-19,Bilbao
38,117,53,2023-10-19,Alcobendas
64,94,40,2023-10-19,Mostoles
78,103,86,2023-10-18,Barakaldo
46,112,47,2023-10-18,Bilbao
34,107,86,2023-10-18,Alcobendas
77,81,67,2023-10-18,Mostoles
62,98,77,2023-10-17,Barakaldo
74,110,52,2023-10-17,Bilbao
56,62,58,2023-10-17,Alcobendas
61,126,71,2023-10-17,Mostoles
43,68,44,2023-10-16,Barakaldo
43,113,98,2023-10-16,Bilbao
36,134,46,2023-10-16,Alcobendas
58,136,41,2023-10-16,Mostoles
49,126,81,2023-10-15,Barakaldo
32,121,76,2023-10-15,Bilbao
58,73,41,2023-10-15,Alcobendas
48,66,65,2023-10-15,Mostoles
63,105,40,2023-10-14,Barakaldo
61,90,78,2023-10-14,Bilbao
31,138,85,2023-10-14,Alcobendas
42,108,44,2023-10-14,Mostoles
73,133,41,2023-10-13,Barakaldo
38,123,85,2023-10-13,Bilbao
53,62,40,2023-10-13,Alcobendas
58,68,95,2023-10-13,Mostoles
35,118,78,2023-10-12,Barakaldo
35,104,66,2023-10-12,Bilbao
73,77,55,2023-10-12,Alcobendas
48,115,42,2023-10-12,Mostoles
48,110,91,2023-10-11,Barakaldo
70,120,89,2023-10-11,Bilbao
76,104,60,2023-10-11,Alcobendas
74,110,76,2023-10-11,Mostoles
46,88,86,2023-10-10,Barakaldo
58,127,96,2023-10-10,Bilbao
41,90,78,2023-10-10,Alcobendas
62,85,55,2023-10-10,Mostoles
34,93,87,2023-10-09,Barakaldo
70,103,84,2023-10-09,Bilbao
40,81,61,2023-10-09,Alcobendas
59,105,45,2023-10-09,Mostoles
38,83,80,2023-10-08,Barakaldo
