papel,envases,organico,fecha,nombre
7234,11559,13223,2023-11-01,Barakaldo
5338,10917,6856,2023-11-01,Bilbao
8371,6930,13950,2023-11-01,Alcobendas
7899,6210,13011,2023-11-01,Mostoles
13267,5453,11657,2023-10-01,Barakaldo
5519,14322,7409,2023-10-01,Bilbao
12985,5231,11346,2023-10-01,Alcobendas
14908,10870,11057,2023-10-01,Mostoles
14377,5435,9577,2023-09-01,Barakaldo
7816,6986,6732,2023-09-01,Bilbao
14263,14896,14615,2023-09-01,Alcobendas
12403,14901,12656,2023-09-01,Mostoles
13186,9490,9635,2023-08-01,Barakaldo
9714,9370,13027,2023-08-01,Bilbao
8005,10115,6795,2023-08-01,Alcobendas
10886,9278,13950,2023-08-01,Mostoles
8872,9724,9106,2023-07-01,Barakaldo
11334,7030,5653,2023-07-01,Bilbao
12379,7230,9427,2023-07-01,Alcobendas
9862,14038,11788,2023-07-01,Mostoles
6850,13631,7704,2023-06-01,Barakaldo
7448,10114,10412,2023-06-01,Bilbao
13545,13645,13017,2023-06-01,Alcobendas
6477,8261,12776,2023-06-01,Mostoles
11522,10255,7267,2023-05-01,Barakaldo
5977,8528,13310,2023-05-01,Bilbao
10106,14736,13135,2023-05-01,Alcobendas
9999,7272,8676,2023-05-01,Mostoles
8020,5343,9412,2023-04-01,Barakaldo
11735,11233,11461,2023-04-01,Bilbao
7456,8026,12753,2023-04-01,Alcobendas
7009,5538,5925,2023-04-01,Mostoles
8419,14155,13301,2023-03-01,Barakaldo
9359,6814,6449,2023-03-01,Bilbao
12922,10154,9197,2023-03-01,Alcobendas
14125,11075,14912,2023-03-01,Mostoles
10290,11350,11332,2023-02-01,Barakaldo
5869,13462,11210,2023-02-01,Bilbao
6833,13111,8355,2023-02-01,Alcobendas
7059,12248,7324,2023-02-01,Mostoles
11169,14473,13311,2023-01-01,Barakaldo
8826,7415,12689,2023-01-01,Bilbao
8977,12225,7002,2023-01-01,Alcobendas
11915,7194,12886,2023-01-01,Mostoles
10802,7458,9472,2022-12-01,Barakaldo
14009,13432,9840,2022-12-01,Bilbao
10123,13054,6820,2022-12-01,Alcobendas
13946,13754,6373,2022-12-01,Mostoles
14177,9265,14278,2022-11-01,Barakaldo
8062,11412,7089,2022-11-01,Bilbao
12367,6383,7825,2022-11-01,Alcobendas
11639,7417,10839,2022-11-01,Mostoles
6164,7795,8332,2022-10-01,Barakaldo
8496,13104,13768,2022-10-01,Bilbao
12840,7065,9951,2022-10-01,Alcobendas
7848,12706,8201,2022-10-01,Mostoles
13135,12380,6906,2022-09-01,Barakaldo
10380,9116,8429,2022-09-01,Bilbao
13038,10602,5903,2022-09-01,Alcobendas
11982,10449,6160,2022-09-01,Mostoles
6738,8012,14772,2022-08-01,Barakaldo
6248,12117,5829,2022-08-01,Bilbao
10733,11635,6317,2022-08-01,Alcobendas
6653,7958,13785,2022-08-01,Mostoles
9658,8698,7416,2022-07-01,Barakaldo
11303,8969,12788,2022-07-01,Bilbao
5496,6600,5905,2022-07-01,Alcobendas
11913,9415,13086,2022-07-01,Mostoles
6099,5497,14608,2022-06-01,Barakaldo
8504,5337,5597,2022-06-01,Bilbao
9525,12489,11448,2022-06-01,Alcobendas
9937,10192,11750,2022-06-01,Mostoles
10066,10477,10190,2022-05-01,Barakaldo
9137,7381,6107,2022-05-01,Bilbao
7334,9176,5166,2022-05-01,Alcobendas
11753,6892,12492,2022-05-01,Mostoles
10356,11477,10310,2022-04-01,Barakaldo
11116,9047,10489,2022-04-01,Bilbao
5334,11309,9598,2022-04-01,Alcobendas
6116,7164,6870,2022-04-01,Mostoles
11472,13816,14751,2022-03-01,Barakaldo
14427,11195,14914,2022-03-01,Bilbao
12170,9989,8295,2022-03-01,Alcobendas
13795,12515,8888,2022-03-01,Mostoles
7067,5244,13283,2022-02-01,Barakaldo
6393,12510,6242,2022-02-01,Bilbao
14520,5030,14539,2022-02-01,Alcobendas
10004,8114,14456,2022-02-01,Mostoles
5780,5028,11754,2022-01-01,Barakaldo
7203,7653,5330,2022-01-01,Bilbao
