id,fecha,nombre
1,2021-09-01,Mostoles
2,2023-08-01,Mostoles
3,2021-11-01,Barakaldo
4,2022-02-01,Bilbao
5,2023-02-01,Mostoles
6,2023-04-01,Mostoles
7,2023-04-01,Mostoles
8,2022-05-01,Bilbao
9,2022-11-01,Barakaldo
10,2022-10-01,Barakaldo
11,2022-05-01,Mostoles
12,2022-09-01,Alcobendas
13,2020-12-01,Alcobendas
14,2023-08-01,Barakaldo
15,2021-03-01,Mostoles
16,2023-05-01,Bilbao
17,2022-12-01,Bilbao
18,2023-03-01,Barakaldo
19,2022-08-01,Mostoles
20,2022-06-01,Bilbao
21,2021-12-01,Bilbao
22,2022-06-01,Bilbao
23,2023-08-01,Barakaldo
24,2022-04-01,Bilbao
25,2022-06-01,Bilbao
26,2022-08-01,Mostoles
27,2022-07-01,Mostoles
28,2021-05-01,Barakaldo
29,2022-07-01,Alcobendas
30,2021-05-01,Barakaldo
31,2022-03-01,Barakaldo
32,2021-11-01,Bilbao
33,2023-03-01,Alcobendas
34,2023-02-01,Alcobendas
35,2022-10-01,Bilbao
36,2021-10-01,Barakaldo
37,2021-10-01,Mostoles
38,2021-08-01,Barakaldo
39,2022-06-01,Barakaldo
40,2023-02-01,Barakaldo
41,2021-04-01,Mostoles
42,2022-01-01,Bilbao
43,2023-02-01,Mostoles
44,2021-01-01,Alcobendas
45,2022-02-01,Barakaldo
46,2023-11-01,Mostoles
47,2021-09-01,Bilbao
48,2022-05-01,Alcobendas
49,2021-06-01,Barakaldo
50,2022-09-01,Mostoles
51,2022-11-01,Mostoles
52,2022-09-01,Mostoles
53,2023-11-01,Mostoles
54,2022-08-01,Bilbao
55,2023-11-01,Bilbao
56,2022-06-01,Bilbao
57,2023-10-01,Bilbao
58,2021-06-01,Alcobendas
59,2023-10-01,Bilbao
60,2021-11-01,Barakaldo
61,2021-11-01,Barakaldo
62,2021-07-01,Bilbao
63,2023-08-01,Mostoles
64,2023-08-01,Barakaldo
65,2023-01-01,Alcobendas
66,2020-12-01,Alcobendas
67,2023-09-01,Mostoles
68,2021-03-01,Bilbao
69,2022-01-01,Bilbao
70,2023-04-01,Bilbao
71,2021-07-01,Alcobendas
72,2022-12-01,Bilbao
73,2021-11-01,Alcobendas
74,2022-06-01,Mostoles
75,2021-10-01,Mostoles
76,2023-04-01,Barakaldo
77,2023-11-01,Bilbao
78,2021-05-01,Barakaldo
79,2021-04-01,Alcobendas
80,2023-09-01,Mostoles
81,2021-01-01,Barakaldo
82,2023-08-01,Mostoles
83,2023-01-01,Alcobendas
84,2022-01-01,Bilbao
85,2021-03-01,Alcobendas
86,2023-11-01,Bilbao
87,2023-11-01,Alcobendas
88,2022-05-01,Mostoles
89,2023-08-01,Bilbao
90,2022-06-01,Alcobendas
91,2021-04-01,Alcobendas
92,2023-08-01,Barakaldo
93,2021-03-01,Alcobendas
94,2022-05-01,Bilbao
95,2022-07-01,Mostoles
96,2021-08-01,Alcobendas
97,2021-10-01,Barakaldo
98,2023-02-01,Bilbao
99,2021-02-01,Barakaldo
100,2021-02-01,Barakaldo
101,2022-08-01,Bilbao
102,2022-08-01,Mostoles
103,2021-07-01,Mostoles
104,2023-05-01,Mostoles
105,2021-12-01,Bilbao
106,2021-08-01,Alcobendas
107,2022-09-01,Barakaldo
108,2023-04-01,Bilbao
109,2021-06-01,Mostoles
110,2023-03-01,Barakaldo
111,2022-10-01,Mostoles
112,2021-02-01,Alcobendas
113,2021-12-01,Mostoles
114,2022-09-01,Mostoles
115,2021-12-01,Bilbao
116,2022-03-01,Bilbao
117,2022-12-01,Barakaldo
118,2023-05-01,Alcobendas
119,2023-08-01,Alcobendas
120,2022-08-01,Barakaldo
121,2021-08-01,Bilbao
122,2022-03-01,Alcobendas
123,2021-02-01,Barakaldo
124,2023-04-01,Alcobendas
125,2021-09-01,Barakaldo
126,2023-05-01,Alcobendas
127,2022-06-01,Barakaldo
128,2021-11-01,Alcobendas
129,2023-05-01,Alcobendas
130,2023-07-01,Barakaldo
131,2022-02-01,Mostoles
132,2023-10-01,Barakaldo
133,2021-04-01,Bilbao
134,2021-02-01,Mostoles
135,2023-03-01,Bilbao
136,2022-02-01,Barakaldo
137,2021-04-01,Alcobendas
138,2021-10-01,Alcobendas
139,2021-05-01,Bilbao
140,2023-06-01,Mostoles
141,2021-05-01,Mostoles
142,2023-02-01,Alcobendas
143,2022-11-01,Mostoles
144,2022-02-01,Alcobendas
145,2023-04-01,Bilbao
146,2023-04-01,Bilbao
147,2022-12-01,Alcobendas
148,2022-07-01,Bilbao
149,2023-05-01,Mostoles
150,2023-01-01,Bilbao
151,2023-01-01,Mostoles
152,2022-05-01,Alcobendas
153,2021-04-01,Mostoles
154,2023-01-01,Mostoles
155,2023-03-01,Bilbao
156,2022-07-01,Alcobendas
157,2022-06-01,Barakaldo
158,2023-03-01,Mostoles
159,2023-11-01,Bilbao
160,2022-11-01,Bilbao
161,2022-05-01,Alcobendas
162,2023-04-01,Alcobendas
163,2023-06-01,Alcobendas
