fecha_inicio,fecha_fin,nombre
2022-09-20,2022-09-21,Bilbao
2021-06-02,2021-06-04,Mostoles
2022-06-05,2022-06-07,Barakaldo
2023-08-08,2023-08-09,Bilbao
2022-02-01,2022-02-04,Alcobendas
2021-03-09,2021-03-13,Mostoles
2021-10-26,2021-10-30,Alcobendas
2023-08-18,2023-08-22,Bilbao
2021-07-17,2021-07-21,Mostoles
2023-09-07,2023-09-09,Mostoles
2022-07-28,2022-08-01,Alcobendas
2022-03-15,2022-03-16,Alcobendas
2023-10-16,2023-10-20,Bilbao
2021-12-22,2021-12-24,Bilbao
2021-11-24,2021-11-25,Mostoles
2022-01-28,2022-01-30,Mostoles
2023-05-01,2023-05-03,Bilbao
2022-10-11,2022-10-14,Bilbao
2023-11-17,2023-11-20,Alcobendas
2021-03-07,2021-03-08,Bilbao
2023-10-04,2023-10-08,Barakaldo
2021-07-19,2021-07-22,Alcobendas
2023-08-18,2023-08-19,Bilbao
2023-04-04,2023-04-08,Alcobendas
2023-05-29,2023-06-01,Bilbao
2022-07-31,2022-08-02,Barakaldo
2022-07-03,2022-07-05,Bilbao
2021-04-08,2021-04-12,Bilbao
2021-09-08,2021-09-11,Bilbao
2022-05-04,2022-05-08,Bilbao
2022-12-15,2022-12-18,Alcobendas
2022-06-05,2022-06-08,Mostoles
2022-09-03,2022-09-07,Mostoles
2023-03-03,2023-03-06,Alcobendas
2021-11-21,2021-11-22,Mostoles
2021-11-19,2021-11-22,Mostoles
2023-02-17,2023-02-19,Alcobendas
2022-07-07,2022-07-09,Barakaldo
2023-11-01,2023-11-05,Bilbao
2022-12-18,2022-12-19,Alcobendas
2023-04-02,2023-04-04,Alcobendas
2023-08-27,2023-08-31,Barakaldo
2023-02-23,2023-02-27,Mostoles
2022-05-27,2022-05-30,Mostoles
2021-07-06,2021-07-08,Mostoles
2022-02-26,2022-02-28,Mostoles
2023-11-15,2023-11-17,Mostoles
2022-09-08,2022-09-12,Bilbao
2022-01-13,2022-01-14,Alcobendas
2023-01-29,2023-01-30,Mostoles
2021-06-06,2021-06-10,Barakaldo
2023-11-22,2023-11-25,Barakaldo
2023-03-02,2023-03-06,Barakaldo
2021-12-29,2022-01-02,Bilbao
2022-02-13,2022-02-16,Alcobendas
2022-12-01,2022-12-03,Bilbao
2023-08-05,2023-08-06,Mostoles
2021-08-14,2021-08-15,Alcobendas
2022-03-16,2022-03-20,Mostoles
2022-02-17,2022-02-20,Alcobendas
