evento_nombre,nombre,fecha_fin
1f2491fae58ec8d2bb3e,Bilbao,2022-09-21
5ebce6a1aef593c19cb5,Mostoles,2021-06-04
d07175347b7ce9f1db75,Barakaldo,2022-06-07
22662fdc2401b20533ad,Bilbao,2023-08-09
936830e4982d78e8e4bf,Alcobendas,2022-02-04
d559b3203a1a43ab2bd1,Mostoles,2021-03-13
22926bd73c5cfc6119dd,Alcobendas,2021-10-30
c3c4e73a6ef9c5d406e3,Bilbao,2023-08-22
1083019621797f3b6619,Mostoles,2021-07-21
67095343db5e0e756439,Mostoles,2023-09-09
d01e20e98da2ebfd9ada,Alcobendas,2022-08-01
e5646665317358d08edb,Alcobendas,2022-03-16
9a34975fc007d3a2cd49,Bilbao,2023-10-20
5986b8f8a9fafaeb02aa,Bilbao,2021-12-24
b86ce2cf1e7ca4a2445b,Mostoles,2021-11-25
821fee81dfef606d15e6,Mostoles,2022-01-30
b37828a4eeeca9340335,Bilbao,2023-05-03
d2a66114ebf3d2c7dc6b,Bilbao,2022-10-14
70bacd06310105eac520,Alcobendas,2023-11-20
05f90ee080ab2aabc270,Bilbao,2021-03-08
4de446c300a9e8150feb,Barakaldo,2023-10-08
9bb7a92907a895df5f9f,Alcobendas,2021-07-22
8b4a5ce8c28e25035983,Bilbao,2023-08-19
ce4f57a545def25626e1,Alcobendas,2023-04-08
8b55cb8417accf7fdc09,Bilbao,2023-06-01
e342edf2ee2c86d2df6a,Barakaldo,2022-08-02
f498a3867c0b1f146f82,Bilbao,2022-07-05
c61393da93de204e66be,Bilbao,2021-04-12
ad44babbb9a551f9c622,Bilbao,2021-09-11
065273baf31426c32fed,Bilbao,2022-05-08
c41bcdbaa4ee13b6cffa,Alcobendas,2022-12-18
bc9a8775c22d9780bfc7,Mostoles,2022-06-08
6f08463a58f71605b56f,Mostoles,2022-09-07
5cf5a1c84c05010e051f,Alcobendas,2023-03-06
f67ebf5f5510f723fe9a,Mostoles,2021-11-22
b758404ca0443983595f,Mostoles,2021-11-22
ef63970626f4b0db43c6,Alcobendas,2023-02-19
9a2e16659681c42b127f,Barakaldo,2022-07-09
1d5a7897bdc3934d51cf,Bilbao,2023-11-05
f537c06d747978fd086c,Alcobendas,2022-12-19
80a0c376753cfadb1f68,Alcobendas,2023-04-04
0f5ee5a1b5bc9dfde5a1,Barakaldo,2023-08-31
3f2c06d7c9a235fde983,Mostoles,2023-02-27
a0a3eff7bc4a17e49b38,Mostoles,2022-05-30
d8b64a9110c65d05fe30,Mostoles,2021-07-08
3f0e37ceb14f20a80799,Mostoles,2022-02-28
47085c1c43d29a859a19,Mostoles,2023-11-17
859817a2dbaf1e90a1ca,Bilbao,2022-09-12
fe9f62bcf85c8d23dbb3,Alcobendas,2022-01-14
e22c9223db1bb4306e99,Mostoles,2023-01-30
ca1d6a168d855fed59a8,Barakaldo,2021-06-10
d77fdb186c3527d8b73f,Barakaldo,2023-11-25
9edeaab7eb0c92acabaa,Barakaldo,2023-03-06
ee9f07e0aa602add9c19,Bilbao,2022-01-02
1e3ce9a6d963743b6569,Alcobendas,2022-02-16
5753a22512ee3799d08d,Bilbao,2022-12-03
0488c85fcb903dbcd0c9,Mostoles,2023-08-06
7a2dfa8b955d16159580,Alcobendas,2021-08-15
bcd0e938d29514a31a55,Mostoles,2022-03-20
5c17ecb80bef4a64b7a4,Alcobendas,2022-02-20
ccc8edf1d0cc5ffb31d4,Alcobendas,2022-09-11
7b3803a800b9040b26ef,Bilbao,2021-12-13
0c1c52b45d9965b4eb02,Mostoles,2021-09-18
b4b3f27b4bec42dce5fa,Barakaldo,2022-05-02
71adff1ff6f110c480eb,Bilbao,2021-05-28
97283795a75d7e9fdf03,Mostoles,2022-06-13
90f94f63b258c9ad69b9,Bilbao,2022-01-16
92e45a72b87393ee281c,Barakaldo,2022-03-19
fdcac00ac5ec72ebabf8,Bilbao,2021-07-23
f567f396b30e517a85f6,Alcobendas,2022-01-09
30b0150e286693858558,Mostoles,2023-08-06
105caff3439bc5894b4d,Bilbao,2023-03-04
d31cd37907fa882dc424,Alcobendas,2021-11-09
58d878a9e4e148be798d,Alcobendas,2023-07-16
74ea4cd5c8c494172902,Bilbao,2022-12-17
a853e84cf6de537b35f0,Bilbao,2022-03-28
2b35a7e7d72b2ac94ca2,Bilbao,2022-10-20
fca059cfafca2592112e,Alcobendas,2021-10-13
4c373bc92ed84fe6e8b6,Alcobendas,2021-11-24
2dd452037a5a6d88cae4,Barakaldo,2021-04-03
0c6f25d12d973169fa1b,Bilbao,2023-08-28
1b0602c862583c6a5e01,Bilbao,2021-05-19
1e02d16b3532d4da34a5,Barakaldo,2022-01-20
f4c1abcec0b715131001,Barakaldo,2021-09-02
fd496795c280d17a1c06,Bilbao,2022-04-14
7e7485ff07d2febf457a,Bilbao,2021-11-13
892d4aef5966a4a7dfea,Mostoles,2023-07-12
d4a84b7cf20519d41131,Barakaldo,2022-04-04
36a90e4044d72a265837,Mostoles,2021-06-24
c0b9c589adb18ba67f0f,Mostoles,2022-09-24
cf77518f9335c94321c9,Bilbao,2022-10-25
7e18a438250c855f8d0c,Bilbao,2021-09-30
236ce57a5cfa47728696,Alcobendas,2022-02-18
acdc1aca386411bca69d,Alcobendas,2023-09-05
47fa8c84c09b522d233e,Alcobendas,2021-05-14
b5a99fcf21e93465ab50,Barakaldo,2021-10-11
a148d119ac423527b5ed,Mostoles,2021-04-09
776e022d8ccbd32268af,Barakaldo,2023-04-17
0d6e1e21c77c116ad9d0,Alcobendas,2022-05-26
84b990fb29c5a9394f50,Barakaldo,2022-05-01
864c9e18ac2cfe21aa0b,Alcobendas,2021-10-23
1ed2a52d737517464d69,Mostoles,2021-06-26
964593003b6875e92e43,Mostoles,2023-10-27
00ef61107bed605d446c,Alcobendas,2023-06-06
4e15dc26b20b013bea44,Alcobendas,2022-10-08
c9215a38a746f41c7d09,Barakaldo,2022-04-14
1c84e0ec0ce223029d88,Alcobendas,2022-05-09
432e178efac6cd66673c,Alcobendas,2022-03-31
9b9f38ae6b25ee70d9e4,Alcobendas,2022-01-01
c84df480f7bc4e524b4c,Barakaldo,2021-06-23
df82138ffecbd9555a42,Bilbao,2023-07-30
d22eb822a37e2e37d677,Barakaldo,2023-06-07
bc840dc2d432f99fe4d1,Alcobendas,2022-01-31
4c9417b5d0a091f5dc44,Barakaldo,2021-03-12
b1aafb655851265e7577,Mostoles,2022-12-30
cef342d1585c18f29a9e,Mostoles,2023-02-15
f756ba440a897a76501a,Mostoles,2023-09-22
ce1fa78bc92ba6d86141,Barakaldo,2023-09-18
95f417f7a05e88255ae2,Bilbao,2021-08-15
f283c0766ff7c95ae317,Barakaldo,2021-07-08
d26fc618c8f791f95902,Bilbao,2023-07-08
4ef25a810a111e1f7bd8,Alcobendas,2022-11-06
b852f6f2afb1af38d6bf,Barakaldo,2021-08-25
02c1f568eabd05935420,Bilbao,2023-05-25
5fe6f933606d74786957,Bilbao,2022-08-16
ff37dad94849173716d7,Bilbao,2021-04-19
cead897af51ad7b86d9d,Barakaldo,2021-04-18
997ec3e3cae8f0884861,Alcobendas,2021-09-26
4835742537e88c08a742,Bilbao,2021-10-24
a5062bd6b8edac773d64,Barakaldo,2023-08-16
3d347539d9478d14b0de,Barakaldo,2023-08-22
ba67a74a527a5575d5b6,Bilbao,2023-04-05
a70c2ad5c20b8c9d1554,Mostoles,2023-03-17
efa6582345c84623af4c,Bilbao,2023-04-20
9703a60669c39c32676a,Mostoles,2022-02-14
7acdd498dad6828687bb,Alcobendas,2022-05-17
6c04691d7343d3fd9805,Barakaldo,2023-01-23
39070ed4eaea32aafb20,Mostoles,2022-08-27
c15a71182186655c28c2,Mostoles,2022-04-29
51224325a9a9262f2f93,Bilbao,2023-07-12
cc415468d75be3653499,Mostoles,2023-01-25
3d7fe0da71189a3812a3,Mostoles,2022-08-20
8ecb4db5f9c90ddd5de3,Barakaldo,2022-02-04
0c144bd6a57d9ad08779,Mostoles,2021-05-19
19311de6f86ff9f5ab53,Alcobendas,2022-03-06
47c478ee0f5591da4b9f,Alcobendas,2022-10-17
06e5f0fd618a35e693fc,Mostoles,2021-04-13
0c5ac3376f5020cb0ea0,Mostoles,2022-01-20
567e2679638ac9803db3,Mostoles,2022-03-17
96020548c5125215d71d,Barakaldo,2021-12-17
b36c608f55d66c4a3c68,Alcobendas,2022-10-09
6514c64996829e3b615b,Alcobendas,2022-10-22
53dd1e74ad3b6ee1924c,Mostoles,2022-11-11
30098c982597da84bd73,Alcobendas,2022-05-10
cd8c5bd4386585ed0862,Mostoles,2022-09-05
a74c87b954f174e759b7,Bilbao,2022-11-01
4c874bfb7a9bd4ec2c3c,Barakaldo,2022-04-05
347ca9abd3f826fc8aed,Mostoles,2023-09-05
3d000964161845f1c0b1,Alcobendas,2023-10-17
bb82fba348e46a7e7db8,Alcobendas,2021-07-24
6252f942a87b5a5f05ae,Bilbao,2022-12-23
39e56a9c071005841175,Mostoles,2023-02-19
5b66f2143c9cdd64782a,Bilbao,2022-05-04
c37891f339acd3380454,Bilbao,2022-09-18
c3b369f8dfe1a73a7cb6,Mostoles,2023-05-27
aae44ccf1729a68e4b62,Mostoles,2023-04-17
a576b1ff9619c483fb71,Mostoles,2022-04-08
84105d67a0b6818977b8,Alcobendas,2023-06-15
0279fd16201bc53c235f,Alcobendas,2021-05-28
1652ca05026816e3d025,Alcobendas,2023-10-23
b8429f8c6536a7dab694,Bilbao,2022-11-09
a73dc84e2818e618d51e,Mostoles,2023-06-07
0cfb10088315b7d70c7d,Barakaldo,2022-02-25
3dca2bfc054512dea467,Mostoles,2023-06-11
1a6384c53ba568a47c85,Barakaldo,2021-07-28
242a61f07da3fd453370,Bilbao,2023-08-25
612fa3420138fb174b00,Bilbao,2022-07-14
8759e8fc4a613cc427db,Alcobendas,2023-03-14
02fa2687207abe076a84,Barakaldo,2022-03-14
0dc6561226f8c25f791b,Barakaldo,2022-11-22
f382e042591ad53acc3b,Bilbao,2021-06-18
e981ef13cc77472725df,Barakaldo,2023-06-03
d69e382d6d0286e4e340,Barakaldo,2022-02-18
b856fe66abcdddd4c24b,Mostoles,2023-01-15
dff267dd589af74f98eb,Alcobendas,2022-07-04
d9a4c0dc7d53fc82692f,Bilbao,2022-04-01
75922068d1b725a31dc4,Mostoles,2023-06-16
c7a551c023a339ce6d3a,Bilbao,2022-06-16
6516ebb9c0685a24a7ff,Mostoles,2022-07-04
