fecha,nombre
2023-11-01,Barakaldo
2023-10-01,Barakaldo
2023-09-01,Barakaldo
2023-08-01,Barakaldo
2023-07-01,Barakaldo
2023-06-01,Barakaldo
2023-05-01,Barakaldo
2023-04-01,Barakaldo
2023-03-01,Barakaldo
2023-02-01,Barakaldo
2023-01-01,Barakaldo
2022-12-01,Barakaldo
2022-11-01,Barakaldo
2022-10-01,Barakaldo
2022-09-01,Barakaldo
2022-08-01,Barakaldo
2022-07-01,Barakaldo
2022-06-01,Barakaldo
2022-05-01,Barakaldo
2022-04-01,Barakaldo
2022-03-01,Barakaldo
2022-02-01,Barakaldo
2022-01-01,Barakaldo
2021-12-01,Barakaldo
2021-11-01,Barakaldo
2021-10-01,Barakaldo
2021-09-01,Barakaldo
2021-08-01,Barakaldo
2021-07-01,Barakaldo
2021-06-01,Barakaldo
2021-05-01,Barakaldo
2021-04-01,Barakaldo
2021-03-01,Barakaldo
2021-02-01,Barakaldo
2021-01-01,Barakaldo
2020-12-01,Barakaldo
2023-11-01,Bilbao
2023-10-01,Bilbao
2023-09-01,Bilbao
2023-08-01,Bilbao
2023-07-01,Bilbao
2023-06-01,Bilbao
2023-05-01,Bilbao
2023-04-01,Bilbao
2023-03-01,Bilbao
2023-02-01,Bilbao
2023-01-01,Bilbao
2022-12-01,Bilbao
2022-11-01,Bilbao
2022-10-01,Bilbao
2022-09-01,Bilbao
2022-08-01,Bilbao
2022-07-01,Bilbao
2022-06-01,Bilbao
2022-05-01,Bilbao
2022-04-01,Bilbao
2022-03-01,Bilbao
2022-02-01,Bilbao
2022-01-01,Bilbao
2021-12-01,Bilbao
2021-11-01,Bilbao
2021-10-01,Bilbao
2021-09-01,Bilbao
2021-08-01,Bilbao
2021-07-01,Bilbao
2021-06-01,Bilbao
2021-05-01,Bilbao
2021-04-01,Bilbao
2021-03-01,Bilbao
2021-02-01,Bilbao
2021-01-01,Bilbao
2020-12-01,Bilbao
2023-11-01,Alcobendas
2023-10-01,Alcobendas
2023-09-01,Alcobendas
2023-08-01,Alcobendas
2023-07-01,Alcobendas
2023-06-01,Alcobendas
2023-05-01,Alcobendas
2023-04-01,Alcobendas
2023-03-01,Alcobendas
2023-02-01,Alcobendas
2023-01-01,Alcobendas
2022-12-01,Alcobendas
2022-11-01,Alcobendas
2022-10-01,Alcobendas
2022-09-01,Alcobendas
2022-08-01,Alcobendas
2022-07-01,Alcobendas
2022-06-01,Alcobendas
2022-05-01,Alcobendas
2022-04-01,Alcobendas
2022-03-01,Alcobendas
2022-02-01,Alcobendas
2022-01-01,Alcobendas
2021-12-01,Alcobendas
2021-11-01,Alcobendas
2021-10-01,Alcobendas
2021-09-01,Alcobendas
2021-08-01,Alcobendas
2021-07-01,Alcobendas
2021-06-01,Alcobendas
2021-05-01,Alcobendas
2021-04-01,Alcobendas
2021-03-01,Alcobendas
2021-02-01,Alcobendas
2021-01-01,Alcobendas
2020-12-01,Alcobendas
2023-11-01,Mostoles
2023-10-01,Mostoles
2023-09-01,Mostoles
2023-08-01,Mostoles
2023-07-01,Mostoles
2023-06-01,Mostoles
2023-05-01,Mostoles
2023-04-01,Mostoles
2023-03-01,Mostoles
2023-02-01,Mostoles
2023-01-01,Mostoles
2022-12-01,Mostoles
2022-11-01,Mostoles
2022-10-01,Mostoles
2022-09-01,Mostoles
2022-08-01,Mostoles
2022-07-01,Mostoles
2022-06-01,Mostoles
2022-05-01,Mostoles
2022-04-01,Mostoles
2022-03-01,Mostoles
2022-02-01,Mostoles
2022-01-01,Mostoles
2021-12-01,Mostoles
2021-11-01,Mostoles
2021-10-01,Mostoles
2021-09-01,Mostoles
2021-08-01,Mostoles
2021-07-01,Mostoles
2021-06-01,Mostoles
2021-05-01,Mostoles
2021-04-01,Mostoles
2021-03-01,Mostoles
2021-02-01,Mostoles
2021-01-01,Mostoles
2020-12-01,Mostoles
