evento_nombre,participantes,nombre,espectadores
1f2491fae58ec8d2bb3e,131,Bilbao,373
5ebce6a1aef593c19cb5,66,Mostoles,261
d07175347b7ce9f1db75,146,Barakaldo,306
22662fdc2401b20533ad,161,Bilbao,157
936830e4982d78e8e4bf,70,Alcobendas,257
d559b3203a1a43ab2bd1,120,Mostoles,307
22926bd73c5cfc6119dd,97,Alcobendas,138
c3c4e73a6ef9c5d406e3,71,Bilbao,372
1083019621797f3b6619,114,Mostoles,309
67095343db5e0e756439,160,Mostoles,260
d01e20e98da2ebfd9ada,130,Alcobendas,106
e5646665317358d08edb,167,Alcobendas,236
9a34975fc007d3a2cd49,62,Bilbao,147
5986b8f8a9fafaeb02aa,134,Bilbao,268
b86ce2cf1e7ca4a2445b,106,Mostoles,355
821fee81dfef606d15e6,50,Mostoles,213
b37828a4eeeca9340335,89,Bilbao,216
d2a66114ebf3d2c7dc6b,90,Bilbao,345
70bacd06310105eac520,112,Alcobendas,384
05f90ee080ab2aabc270,157,Bilbao,359
4de446c300a9e8150feb,98,Barakaldo,320
9bb7a92907a895df5f9f,119,Alcobendas,208
8b4a5ce8c28e25035983,122,Bilbao,316
ce4f57a545def25626e1,98,Alcobendas,379
8b55cb8417accf7fdc09,30,Bilbao,285
e342edf2ee2c86d2df6a,55,Barakaldo,356
f498a3867c0b1f146f82,67,Bilbao,251
c61393da93de204e66be,132,Bilbao,285
ad44babbb9a551f9c622,158,Bilbao,224
065273baf31426c32fed,168,Bilbao,142
c41bcdbaa4ee13b6cffa,114,Alcobendas,184
bc9a8775c22d9780bfc7,147,Mostoles,287
6f08463a58f71605b56f,177,Mostoles,398
5cf5a1c84c05010e051f,39,Alcobendas,140
f67ebf5f5510f723fe9a,120,Mostoles,299
b758404ca0443983595f,108,Mostoles,116
ef63970626f4b0db43c6,139,Alcobendas,107
9a2e16659681c42b127f,35,Barakaldo,203
1d5a7897bdc3934d51cf,42,Bilbao,178
f537c06d747978fd086c,88,Alcobendas,307
80a0c376753cfadb1f68,82,Alcobendas,191
0f5ee5a1b5bc9dfde5a1,78,Barakaldo,131
3f2c06d7c9a235fde983,173,Mostoles,213
a0a3eff7bc4a17e49b38,113,Mostoles,120
d8b64a9110c65d05fe30,155,Mostoles,255
3f0e37ceb14f20a80799,79,Mostoles,326
47085c1c43d29a859a19,111,Mostoles,135
859817a2dbaf1e90a1ca,57,Bilbao,284
fe9f62bcf85c8d23dbb3,156,Alcobendas,175
e22c9223db1bb4306e99,112,Mostoles,396
ca1d6a168d855fed59a8,107,Barakaldo,198
d77fdb186c3527d8b73f,58,Barakaldo,276
9edeaab7eb0c92acabaa,125,Barakaldo,315
ee9f07e0aa602add9c19,39,Bilbao,226
1e3ce9a6d963743b6569,108,Alcobendas,249
5753a22512ee3799d08d,107,Bilbao,360
0488c85fcb903dbcd0c9,77,Mostoles,344
7a2dfa8b955d16159580,79,Alcobendas,238
bcd0e938d29514a31a55,30,Mostoles,169
