id,nombre,tipo_propiedad
1,Mostoles,Privada
2,Bilbao,Privada
3,Alcobendas,Privada
4,Alcobendas,Publica
5,Mostoles,Publica
6,Alcobendas,Publica
7,Barakaldo,Publica
8,Mostoles,Privada
9,Barakaldo,Privada
10,Alcobendas,Publica
11,Bilbao,Publica
12,Bilbao,Publica
13,Bilbao,Privada
14,Barakaldo,Publica
15,Alcobendas,Publica
16,Mostoles,Privada
17,Alcobendas,Privada
18,Barakaldo,Publica
19,Bilbao,Publica
20,Mostoles,Privada
21,Barakaldo,Publica
22,Alcobendas,Privada
23,Barakaldo,Publica
24,Barakaldo,Privada
25,Barakaldo,Publica
26,Barakaldo,Privada
27,Alcobendas,Publica
28,Barakaldo,Privada
29,Barakaldo,Privada
30,Bilbao,Privada
31,Bilbao,Publica
32,Bilbao,Privada
33,Bilbao,Publica
34,Alcobendas,Privada
35,Alcobendas,Privada
36,Bilbao,Privada
37,Bilbao,Privada
38,Alcobendas,Publica
39,Mostoles,Publica
40,Mostoles,Publica
41,Alcobendas,Privada
42,Alcobendas,Privada
43,Mostoles,Privada
44,Mostoles,Publica
45,Barakaldo,Publica
46,Barakaldo,Privada
47,Barakaldo,Publica
48,Bilbao,Privada
49,Bilbao,Privada
50,Bilbao,Publica
