id,nombre
1,Mostoles
2,Bilbao
3,Alcobendas
4,Alcobendas
5,Mostoles
6,Alcobendas
7,Barakaldo
8,Mostoles
9,Barakaldo
10,Alcobendas
11,Bilbao
12,Bilbao
13,Bilbao
14,Barakaldo
15,Alcobendas
16,Mostoles
17,Alcobendas
18,Barakaldo
19,Bilbao
20,Mostoles
21,Barakaldo
22,Alcobendas
23,Barakaldo
24,Barakaldo
25,Barakaldo
26,Barakaldo
27,Alcobendas
28,Barakaldo
29,Barakaldo
30,Bilbao
31,Bilbao
32,Bilbao
33,Bilbao
34,Alcobendas
35,Alcobendas
36,Bilbao
37,Bilbao
38,Alcobendas
39,Mostoles
40,Mostoles
41,Alcobendas
42,Alcobendas
43,Mostoles
44,Mostoles
45,Barakaldo
46,Barakaldo
47,Barakaldo
48,Bilbao
49,Bilbao
50,Bilbao
